tm	deltaT	execTm	deltaTExecTm	CoMean	CoMax
4.966666700000000245e-04	1.111111100000000074e-06	1.410292600000000093e+05	5.813000000000174623e+02	3.208914899999999737e-02	7.334647399999999484e-01
4.977777799999999475e-04	1.111111100000000074e-06	1.416085700000000070e+05	5.793099999999976717e+02	3.204482899999999690e-02	7.285041500000000170e-01
4.988888899999999790e-04	1.111111100000000074e-06	1.422120199999999895e+05	6.034499999999825377e+02	3.199557199999999990e-02	7.251515499999999781e-01
5.000000000000000104e-04	1.111111100000000074e-06	1.427747799999999988e+05	5.627600000000093132e+02	3.193259200000000270e-02	7.243638199999999916e-01
5.012499999999999595e-04	1.250000000000000102e-06	1.433471400000000140e+05	5.723600000000151340e+02	3.190668499999999713e-02	7.258757999999999599e-01
5.025000000000000170e-04	1.250000000000000102e-06	1.439273800000000047e+05	5.802399999999906868e+02	3.581561600000000151e-02	8.180253199999999447e-01
5.037499999999999660e-04	1.250000000000000102e-06	1.445024299999999930e+05	5.750499999999883585e+02	3.576746299999999934e-02	8.195161899999999777e-01
5.050000000000000235e-04	1.250000000000000102e-06	1.450652399999999907e+05	5.628099999999976717e+02	3.571600999999999942e-02	8.219047900000000517e-01
5.062499999999999726e-04	1.250000000000000102e-06	1.456651400000000140e+05	5.999000000000232831e+02	3.566272999999999666e-02	8.236324699999999499e-01
5.075000000000000301e-04	1.250000000000000102e-06	1.462467699999999895e+05	5.816299999999755528e+02	3.560487899999999900e-02	8.241171999999999942e-01
5.087499999999999791e-04	1.250000000000000102e-06	1.468367000000000116e+05	5.899300000000221189e+02	3.555039100000000063e-02	8.273223200000000555e-01
5.100000000000000366e-04	1.250000000000000102e-06	1.474376799999999930e+05	6.009799999999813735e+02	3.550988499999999798e-02	8.258446499999999579e-01
5.112499999999999857e-04	1.250000000000000102e-06	1.480483999999999942e+05	6.107200000000011642e+02	3.544307700000000338e-02	8.212735899999999978e-01
5.125000000000000432e-04	1.250000000000000102e-06	1.486687099999999919e+05	6.203099999999976717e+02	3.539608200000000232e-02	8.232878000000000140e-01
5.137499999999999923e-04	1.250000000000000102e-06	1.492916600000000035e+05	6.229500000000116415e+02	3.534884700000000268e-02	8.250896399999999575e-01
5.150000000000000498e-04	1.250000000000000102e-06	1.499197900000000081e+05	6.281300000000046566e+02	3.529435100000000158e-02	8.251928400000000385e-01
5.162499999999999988e-04	1.250000000000000102e-06	1.505504700000000012e+05	6.306799999999930151e+02	3.525896900000000111e-02	8.249505700000000497e-01
5.174999999999999479e-04	1.250000000000000102e-06	1.511674400000000023e+05	6.169700000000011642e+02	3.520772600000000169e-02	8.239324599999999776e-01
5.187500000000000054e-04	1.250000000000000102e-06	1.518145400000000081e+05	6.471000000000058208e+02	3.515000599999999753e-02	8.203491099999999925e-01
5.199999999999999544e-04	1.250000000000000102e-06	1.524205799999999872e+05	6.060399999999790452e+02	3.507687899999999831e-02	8.175451799999999825e-01
5.212500000000000119e-04	1.250000000000000102e-06	1.530592999999999884e+05	6.387200000000011642e+02	3.503804199999999841e-02	8.158505099999999732e-01
5.224999999999999610e-04	1.250000000000000102e-06	1.537187000000000116e+05	6.594000000000232831e+02	3.498549799999999682e-02	8.137360999999999622e-01
5.237500000000000185e-04	1.250000000000000102e-06	1.543306199999999953e+05	6.119199999999837019e+02	3.494000500000000314e-02	8.109233200000000030e-01
5.249999999999999676e-04	1.250000000000000102e-06	1.549425100000000093e+05	6.118900000000139698e+02	3.489750199999999691e-02	8.084067999999999810e-01
5.262500000000000250e-04	1.250000000000000102e-06	1.555657799999999988e+05	6.232699999999895226e+02	3.482289499999999954e-02	8.085503299999999838e-01
5.274999999999999741e-04	1.250000000000000102e-06	1.561941700000000128e+05	6.283900000000139698e+02	3.478062199999999715e-02	8.086729799999999857e-01
5.287500000000000316e-04	1.250000000000000102e-06	1.568140499999999884e+05	6.198799999999755528e+02	3.473035700000000336e-02	8.085686600000000501e-01
5.299999999999999807e-04	1.250000000000000102e-06	1.574549100000000035e+05	6.408600000000151340e+02	3.468524800000000186e-02	8.085270300000000354e-01
5.312500000000000382e-04	1.250000000000000102e-06	1.581459599999999919e+05	6.910499999999883585e+02	3.462331099999999690e-02	8.083627500000000188e-01
5.324999999999999872e-04	1.250000000000000102e-06	1.587891000000000058e+05	6.431400000000139698e+02	3.457670999999999661e-02	8.081132699999999947e-01
5.337500000000000447e-04	1.250000000000000102e-06	1.594277300000000105e+05	6.386300000000046566e+02	3.453348600000000213e-02	8.081359700000000368e-01
5.349999999999999938e-04	1.250000000000000102e-06	1.600660400000000081e+05	6.383099999999976717e+02	3.448541900000000326e-02	8.082867999999999720e-01
5.362500000000000513e-04	1.250000000000000102e-06	1.606793099999999977e+05	6.132699999999895226e+02	3.445322600000000346e-02	8.080730499999999594e-01
5.375000000000000003e-04	1.250000000000000102e-06	1.613050700000000070e+05	6.257600000000093132e+02	3.442866700000000307e-02	8.074771600000000271e-01
5.387499999999999494e-04	1.250000000000000102e-06	1.619880799999999872e+05	6.830099999999802094e+02	3.437841299999999656e-02	8.074497200000000374e-01
5.400000000000000069e-04	1.250000000000000102e-06	1.626504700000000012e+05	6.623900000000139698e+02	3.431180699999999972e-02	8.066046999999999523e-01
5.412499999999999560e-04	1.250000000000000102e-06	1.633353200000000070e+05	6.848500000000058208e+02	3.426874900000000113e-02	8.083907900000000257e-01
5.425000000000000135e-04	1.250000000000000102e-06	1.640181099999999860e+05	6.827899999999790452e+02	3.423437900000000228e-02	8.101423100000000321e-01
5.437499999999999625e-04	1.250000000000000102e-06	1.646768699999999953e+05	6.587600000000093132e+02	3.419669300000000023e-02	8.109946500000000391e-01
5.450000000000000200e-04	1.250000000000000102e-06	1.653436300000000047e+05	6.667600000000093132e+02	3.416013100000000330e-02	8.111897500000000427e-01
5.462499999999999691e-04	1.250000000000000102e-06	1.660306700000000128e+05	6.870400000000081491e+02	3.412289000000000294e-02	8.113996199999999881e-01
5.475000000000000266e-04	1.250000000000000102e-06	1.667418200000000070e+05	7.111499999999941792e+02	3.408190800000000104e-02	8.114279300000000195e-01
5.487499999999999756e-04	1.250000000000000102e-06	1.674235199999999895e+05	6.816999999999825377e+02	3.405826900000000212e-02	8.104464300000000510e-01
5.500000000000000331e-04	1.250000000000000102e-06	1.680682099999999919e+05	6.446900000000023283e+02	3.400892900000000024e-02	8.098149399999999831e-01
5.512499999999999822e-04	1.250000000000000102e-06	1.687316499999999942e+05	6.634400000000023283e+02	3.397520600000000085e-02	8.102508999999999961e-01
5.525000000000000397e-04	1.250000000000000102e-06	1.693916799999999930e+05	6.600299999999988358e+02	3.391226499999999699e-02	8.115520499999999693e-01
5.537499999999999888e-04	1.250000000000000102e-06	1.700561099999999860e+05	6.644299999999930151e+02	3.385920199999999797e-02	8.147985199999999706e-01
5.550000000000000462e-04	1.250000000000000102e-06	1.707511099999999860e+05	6.950000000000000000e+02	3.382810800000000256e-02	8.174559399999999920e-01
5.562499999999999953e-04	1.250000000000000102e-06	1.713786799999999930e+05	6.275700000000069849e+02	3.378792800000000179e-02	8.181138500000000313e-01
5.575000000000000528e-04	1.250000000000000102e-06	1.719991799999999930e+05	6.205000000000000000e+02	3.376637700000000020e-02	8.186624300000000520e-01
5.587500000000000019e-04	1.250000000000000102e-06	1.726345799999999872e+05	6.353999999999941792e+02	3.371601800000000038e-02	8.193487200000000303e-01
5.599999999999999509e-04	1.250000000000000102e-06	1.732908099999999977e+05	6.562300000000104774e+02	3.368166599999999899e-02	8.200574499999999656e-01
5.612500000000000084e-04	1.250000000000000102e-06	1.739887399999999907e+05	6.979299999999930151e+02	3.363633399999999690e-02	8.210156100000000068e-01
5.624999999999999575e-04	1.250000000000000102e-06	1.746425499999999884e+05	6.538099999999976717e+02	3.359546900000000280e-02	8.214514299999999825e-01
5.637500000000000150e-04	1.250000000000000102e-06	1.752483299999999872e+05	6.057799999999988358e+02	3.353653699999999821e-02	8.217938399999999977e-01
5.649999999999999641e-04	1.250000000000000102e-06	1.758783999999999942e+05	6.300700000000069849e+02	3.350889399999999740e-02	8.222491499999999842e-01
5.662500000000000215e-04	1.250000000000000102e-06	1.765079899999999907e+05	6.295899999999965075e+02	3.346277999999999753e-02	8.226675199999999855e-01
5.674999999999999706e-04	1.250000000000000102e-06	1.771351900000000023e+05	6.272000000000116415e+02	3.341964000000000046e-02	8.227102899999999552e-01
5.687500000000000281e-04	1.250000000000000102e-06	1.777625400000000081e+05	6.273500000000058208e+02	3.338707099999999733e-02	8.228938999999999560e-01
5.699999999999999772e-04	1.250000000000000102e-06	1.784035400000000081e+05	6.410000000000000000e+02	3.333856799999999898e-02	8.235426300000000532e-01
5.712500000000000347e-04	1.250000000000000102e-06	1.790356900000000023e+05	6.321499999999941792e+02	3.333051399999999859e-02	8.236863899999999905e-01
5.724999999999999837e-04	1.250000000000000102e-06	1.796608099999999977e+05	6.251199999999953434e+02	3.330501200000000189e-02	8.234853800000000446e-01
5.737500000000000412e-04	1.250000000000000102e-06	1.803298699999999953e+05	6.690599999999976717e+02	3.327192500000000080e-02	8.234407999999999728e-01
5.749999999999999903e-04	1.250000000000000102e-06	1.809912399999999907e+05	6.613699999999953434e+02	3.322754900000000206e-02	8.228821299999999894e-01
5.762500000000000478e-04	1.250000000000000102e-06	1.816537000000000116e+05	6.624600000000209548e+02	3.320037800000000261e-02	8.209681199999999679e-01
5.774999999999999968e-04	1.250000000000000102e-06	1.823555400000000081e+05	7.018399999999965075e+02	3.317180899999999655e-02	8.193269100000000194e-01
5.787499999999999459e-04	1.250000000000000102e-06	1.830086600000000035e+05	6.531199999999953434e+02	3.313320299999999996e-02	8.178550199999999881e-01
5.800000000000000034e-04	1.250000000000000102e-06	1.836565599999999977e+05	6.478999999999941792e+02	3.311443299999999867e-02	8.166968399999999795e-01
5.812499999999999525e-04	1.250000000000000102e-06	1.843367099999999919e+05	6.801499999999941792e+02	3.307929500000000161e-02	8.157871899999999954e-01
5.825000000000000100e-04	1.250000000000000102e-06	1.850136600000000035e+05	6.769500000000116415e+02	3.305126800000000170e-02	8.146594700000000522e-01
5.837499999999999590e-04	1.250000000000000102e-06	1.856715700000000070e+05	6.579100000000034925e+02	3.304334300000000280e-02	8.137252900000000455e-01
5.850000000000000165e-04	1.250000000000000102e-06	1.863606900000000023e+05	6.891199999999953434e+02	3.301226100000000108e-02	8.133156900000000356e-01
5.862499999999999656e-04	1.250000000000000102e-06	1.870563200000000070e+05	6.956300000000046566e+02	3.298643600000000092e-02	8.131785099999999655e-01
5.875000000000000231e-04	1.250000000000000102e-06	1.877753999999999942e+05	7.190799999999871943e+02	3.295258499999999952e-02	8.131291699999999567e-01
5.887499999999999721e-04	1.250000000000000102e-06	1.884394400000000023e+05	6.640400000000081491e+02	3.293436500000000017e-02	8.126951500000000328e-01
5.900000000000000296e-04	1.250000000000000102e-06	1.891208800000000047e+05	6.814400000000023283e+02	3.292172200000000049e-02	8.121158899999999514e-01
5.912499999999999787e-04	1.250000000000000102e-06	1.898317500000000000e+05	7.108699999999953434e+02	3.289915899999999727e-02	8.115756499999999818e-01
5.925000000000000362e-04	1.250000000000000102e-06	1.905044800000000105e+05	6.727300000000104774e+02	3.286657700000000099e-02	8.104873299999999503e-01
5.937499999999999853e-04	1.250000000000000102e-06	1.911573500000000058e+05	6.528699999999953434e+02	3.283972799999999859e-02	8.094577899999999548e-01
5.950000000000000427e-04	1.250000000000000102e-06	1.918555000000000000e+05	6.981499999999941792e+02	3.281841199999999820e-02	8.087452000000000529e-01
5.962499999999999918e-04	1.250000000000000102e-06	1.925277000000000116e+05	6.722000000000116415e+02	3.278249200000000335e-02	8.078747099999999959e-01
5.975000000000000493e-04	1.250000000000000102e-06	1.932051300000000047e+05	6.774299999999930151e+02	3.275762200000000013e-02	8.069835699999999834e-01
5.987499999999999984e-04	1.250000000000000102e-06	1.938661199999999953e+05	6.609899999999906868e+02	3.273898000000000086e-02	8.051741500000000329e-01
5.999999999999999474e-04	1.250000000000000102e-06	1.945147999999999884e+05	6.486799999999930151e+02	3.271240699999999890e-02	8.034655600000000231e-01
6.012500000000000049e-04	1.250000000000000102e-06	1.951799500000000116e+05	6.651500000000232831e+02	3.267243300000000072e-02	8.056515499999999941e-01
6.024999999999999540e-04	1.250000000000000102e-06	1.958540199999999895e+05	6.740699999999778811e+02	3.262914199999999987e-02	8.033658299999999475e-01
6.037500000000000115e-04	1.250000000000000102e-06	1.965399899999999907e+05	6.859700000000011642e+02	3.259252399999999772e-02	7.985442900000000455e-01
6.049999999999999606e-04	1.250000000000000102e-06	1.972592200000000012e+05	7.192300000000104774e+02	3.255971900000000085e-02	7.964561100000000504e-01
6.062500000000000180e-04	1.250000000000000102e-06	1.979339400000000023e+05	6.747200000000011642e+02	3.253088199999999708e-02	7.940993899999999606e-01
6.074999999999999671e-04	1.250000000000000102e-06	1.986084599999999919e+05	6.745199999999895226e+02	3.249749400000000177e-02	7.913394500000000553e-01
6.087500000000000246e-04	1.250000000000000102e-06	1.992819899999999907e+05	6.735299999999988358e+02	3.245964700000000119e-02	7.883976900000000398e-01
