"Result",U:0,"U:1","U:2","vtkValidPointMask","arc_length",Points:0,"Points:1","Points:2"
-0.066022,-0.33011,0.055544,0.0066923,1,0.023573,0.015477,0,0.125
-0.067356,-0.33678,0.057022,0.0073707,1,0.023686,0.01559,0,0.125
-0.068822,-0.34411,0.058035,0.0075059,1,0.023799,0.015704,0,0.125
-0.070291,-0.35146,0.059035,0.0076264,1,0.023913,0.015817,0,0.125
-0.07176,-0.3588,0.060035,0.0077469,1,0.024026,0.01593,0,0.125
-0.073229,-0.36615,0.061035,0.0078674,1,0.024139,0.016044,0,0.125
-0.074757,-0.37379,0.061612,0.0071099,1,0.024253,0.016157,0,0.125
-0.076289,-0.38145,0.062161,0.0062958,1,0.024366,0.01627,0,0.125
-0.077821,-0.3891,0.06271,0.0054818,1,0.024479,0.016384,0,0.125
-0.079353,-0.39676,0.06326,0.0046677,1,0.024593,0.016497,0,0.125
-0.080916,-0.40458,0.063564,0.0032123,1,0.024706,0.01661,0,0.125
-0.082482,-0.41241,0.063844,0.0016934,1,0.024819,0.016724,0,0.125
-0.084049,-0.42024,0.064124,0.0001745,1,0.024933,0.016837,0,0.125
-0.085615,-0.42808,0.064403,-0.0013444,1,0.025046,0.01695,0,0.125
-0.087281,-0.43641,0.064419,-0.0026893,1,0.025159,0.017064,0,0.125
-0.08896,-0.4448,0.0644,-0.0040117,1,0.025273,0.017177,0,0.125
-0.090639,-0.4532,0.064381,-0.0053341,1,0.025386,0.01729,0,0.125
-0.092318,-0.46159,0.064363,-0.0066566,1,0.025499,0.017404,0,0.125
-0.094165,-0.47082,0.064059,-0.0077078,1,0.025613,0.017517,0,0.125
-0.096037,-0.48019,0.063712,-0.0087163,1,0.025726,0.01763,0,0.125
-0.09791,-0.48955,0.063364,-0.0097248,1,0.025839,0.017744,0,0.125
-0.099783,-0.49891,0.063016,-0.010733,1,0.025953,0.017857,0,0.125
-0.10188,-0.50938,0.062229,-0.011795,1,0.026066,0.01797,0,0.125
-0.10401,-0.52006,0.061362,-0.012866,1,0.026179,0.018084,0,0.125
-0.10615,-0.53073,0.060495,-0.013938,1,0.026293,0.018197,0,0.125
-0.10828,-0.5414,0.059629,-0.015009,1,0.026406,0.01831,0,0.125
-0.11062,-0.5531,0.058514,-0.016156,1,0.026519,0.018424,0,0.125
-0.113,-0.565,0.05735,-0.017318,1,0.026633,0.018537,0,0.125
-0.11538,-0.57691,0.056186,-0.018479,1,0.026746,0.01865,0,0.125
-0.11776,-0.58881,0.055023,-0.019641,1,0.026859,0.018764,0,0.125
-0.1203,-0.60152,0.053567,-0.020281,1,0.026973,0.018877,0,0.125
-0.12288,-0.6144,0.05205,-0.020814,1,0.027086,0.01899,0,0.125
-0.12545,-0.62727,0.050534,-0.021347,1,0.027199,0.019104,0,0.125
-0.12803,-0.64015,0.049017,-0.02188,1,0.027313,0.019217,0,0.125
-0.13076,-0.65382,0.047021,-0.021778,1,0.027426,0.01933,0,0.125
-0.13353,-0.66766,0.044922,-0.021538,1,0.027539,0.019444,0,0.125
-0.1363,-0.6815,0.042823,-0.021299,1,0.027653,0.019557,0,0.125
-0.13907,-0.69534,0.040723,-0.02106,1,0.027766,0.01967,0,0.125
-0.14199,-0.70997,0.038605,-0.020629,1,0.027879,0.019784,0,0.125
-0.14495,-0.72476,0.036482,-0.020156,1,0.027993,0.019897,0,0.125
-0.14791,-0.73956,0.03436,-0.019683,1,0.028106,0.02001,0,0.125
-0.15087,-0.75435,0.032237,-0.01921,1,0.028219,0.020124,0,0.125
-0.154,-0.76999,0.030679,-0.018799,1,0.028333,0.020237,0,0.125
-0.15716,-0.78582,0.029244,-0.018402,1,0.028446,0.02035,0,0.125
-0.16033,-0.80164,0.027808,-0.018004,1,0.028559,0.020464,0,0.125
-0.16349,-0.81746,0.026372,-0.017607,1,0.028673,0.020577,0,0.125
-0.16687,-0.83436,0.02552,-0.017334,1,0.028786,0.02069,0,0.125
-0.1703,-0.8515,0.024792,-0.017087,1,0.028899,0.020804,0,0.125
-0.17373,-0.86863,0.024064,-0.016841,1,0.029013,0.020917,0,0.125
-0.17715,-0.88577,0.023336,-0.016594,1,0.029126,0.02103,0,0.125
-0.1808,-0.90402,0.023019,-0.016837,1,0.029239,0.021144,0,0.125
-0.1845,-0.9225,0.022785,-0.017181,1,0.029353,0.021257,0,0.125
-0.1882,-0.94098,0.022552,-0.017525,1,0.029466,0.02137,0,0.125
-0.19189,-0.95946,0.022319,-0.017869,1,0.029579,0.021484,0,0.125
-0.19573,-0.97863,0.02273,-0.018542,1,0.029693,0.021597,0,0.125
-0.19959,-0.99793,0.023267,-0.019279,1,0.029806,0.02171,0,0.125
-0.20345,-1.0172,0.023804,-0.020016,1,0.029919,0.021824,0,0.125
-0.20731,-1.0365,0.024341,-0.020753,1,0.030033,0.021937,0,0.125
-0.21111,-1.0556,0.025195,-0.021093,1,0.030146,0.02205,0,0.125
-0.21491,-1.0746,0.026107,-0.02136,1,0.030259,0.022164,0,0.125
-0.21871,-1.0936,0.02702,-0.021627,1,0.030373,0.022277,0,0.125
-0.22251,-1.1126,0.027932,-0.021894,1,0.030486,0.02239,0,0.125
-0.22607,-1.1303,0.028807,-0.021843,1,0.030599,0.022504,0,0.125
-0.22958,-1.1479,0.029676,-0.021738,1,0.030713,0.022617,0,0.125
-0.2331,-1.1655,0.030545,-0.021633,1,0.030826,0.02273,0,0.125
-0.23662,-1.1831,0.031414,-0.021528,1,0.030939,0.022844,0,0.125
-0.23987,-1.1994,0.032577,-0.021756,1,0.031053,0.022957,0,0.125
-0.24308,-1.2154,0.033786,-0.022035,1,0.031166,0.02307,0,0.125
-0.24629,-1.2315,0.034995,-0.022314,1,0.031279,0.023184,0,0.125
-0.2495,-1.2475,0.036204,-0.022594,1,0.031393,0.023297,0,0.125
-0.25248,-1.2624,0.037459,-0.022897,1,0.031506,0.02341,0,0.125
-0.25542,-1.2771,0.038722,-0.023205,1,0.031619,0.023524,0,0.125
-0.25836,-1.2918,0.039984,-0.023512,1,0.031733,0.023637,0,0.125
-0.2613,-1.3065,0.041246,-0.023819,1,0.031846,0.02375,0,0.125
-0.26405,-1.3202,0.041796,-0.023407,1,0.031959,0.023864,0,0.125
-0.26677,-1.3339,0.042256,-0.022904,1,0.032073,0.023977,0,0.125
-0.2695,-1.3475,0.042717,-0.022401,1,0.032186,0.02409,0,0.125
-0.27223,-1.3611,0.043177,-0.021899,1,0.032299,0.024204,0,0.125
-0.27473,-1.3737,0.043192,-0.020325,1,0.032413,0.024317,0,0.125
-0.27721,-1.3861,0.043158,-0.018632,1,0.032526,0.02443,0,0.125
-0.27969,-1.3985,0.043123,-0.016938,1,0.032639,0.024544,0,0.125
-0.28217,-1.4108,0.043089,-0.015245,1,0.032753,0.024657,0,0.125
-0.28432,-1.4216,0.043534,-0.012334,1,0.032866,0.02477,0,0.125
-0.28645,-1.4322,0.044026,-0.0093045,1,0.032979,0.024884,0,0.125
-0.28857,-1.4429,0.044518,-0.0062746,1,0.033093,0.024997,0,0.125
-0.29069,-1.4535,0.04501,-0.0032448,1,0.033206,0.02511,0,0.125
-0.29243,-1.4621,0.046352,0.00082409,1,0.033319,0.025224,0,0.125
-0.29413,-1.4707,0.047762,0.0049767,1,0.033433,0.025337,0,0.125
-0.29583,-1.4792,0.049173,0.0091294,1,0.033546,0.02545,0,0.125
-0.29754,-1.4877,0.050583,0.013282,1,0.033659,0.025564,0,0.125
-0.29884,-1.4942,0.052659,0.017752,1,0.033773,0.025677,0,0.125
-0.30012,-1.5006,0.054781,0.022243,1,0.033886,0.02579,0,0.125
-0.3014,-1.507,0.056903,0.026734,1,0.033999,0.025904,0,0.125
-0.30268,-1.5134,0.059024,0.031226,1,0.034113,0.026017,0,0.125
-0.30361,-1.518,0.060885,0.035591,1,0.034226,0.02613,0,0.125
-0.30452,-1.5226,0.062732,0.03995,1,0.034339,0.026244,0,0.125
-0.30544,-1.5272,0.064579,0.044309,1,0.034453,0.026357,0,0.125
-0.30635,-1.5318,0.066426,0.048669,1,0.034566,0.02647,0,0.125
-0.30689,-1.5344,0.067295,0.052683,1,0.034679,0.026584,0,0.125
-0.30741,-1.537,0.068124,0.056684,1,0.034793,0.026697,0,0.125
-0.30792,-1.5396,0.068953,0.060685,1,0.034906,0.02681,0,0.125
-0.30844,-1.5422,0.069782,0.064685,1,0.035019,0.026924,0,0.125
-0.30848,-1.5424,0.06975,0.068302,1,0.035132,0.027037,0,0.125
-0.30851,-1.5426,0.069695,0.071909,1,0.035246,0.02715,0,0.125
-0.30855,-1.5427,0.069641,0.075516,1,0.035359,0.027264,0,0.125
-0.30858,-1.5429,0.069587,0.079123,1,0.035472,0.027377,0,0.125
-0.30806,-1.5403,0.069175,0.082191,1,0.035586,0.02749,0,0.125
-0.30753,-1.5377,0.068758,0.085251,1,0.035699,0.027604,0,0.125
