u_div,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
-0.211211,-1.05605,-0.0162596,-0.0237539,1,0.0107869,0.0180369,0,0.125,110,0
-0.215159,-1.0758,-0.0189654,-0.0212692,1,0.010885,0.018135,0,0.125,111,0
-0.219112,-1.09556,-0.0216559,-0.0187923,1,0.0109831,0.0182331,0,0.125,112,0
-0.223065,-1.11533,-0.0243464,-0.0163154,1,0.0110811,0.0183311,0,0.125,113,0
-0.227018,-1.13509,-0.0270368,-0.0138385,1,0.0111792,0.0184292,0,0.125,114,0
-0.230971,-1.15486,-0.0297273,-0.0113616,1,0.0112772,0.0185272,0,0.125,115,0
-0.234872,-1.17436,-0.032283,-0.00864411,1,0.0113753,0.0186253,0,0.125,116,0
-0.238689,-1.19344,-0.0345309,-0.00553436,1,0.0114734,0.0187234,0,0.125,117,0
-0.242506,-1.21253,-0.0367788,-0.0024246,1,0.0115714,0.0188214,0,0.125,118,0
-0.246322,-1.23161,-0.0390267,0.000685221,1,0.0116695,0.0189195,0,0.125,119,0
-0.250139,-1.2507,-0.0412746,0.00379498,1,0.0117676,0.0190176,0,0.125,120,0
-0.253956,-1.26978,-0.0435225,0.00690474,1,0.0118656,0.0191156,0,0.125,121,0
-0.257622,-1.28811,-0.0453144,0.0103903,1,0.0119637,0.0192137,0,0.125,122,0
-0.261236,-1.30618,-0.0469035,0.0139917,1,0.0120617,0.0193117,0,0.125,123,0
-0.264851,-1.32425,-0.0484925,0.0175932,1,0.0121598,0.0194098,0,0.125,124,0
-0.268465,-1.34233,-0.0500816,0.0211947,1,0.0122579,0.0195079,0,0.125,125,0
-0.27208,-1.3604,-0.0516706,0.0247961,1,0.0123559,0.0196059,0,0.125,126,0
-0.275653,-1.37827,-0.0532041,0.0283621,1,0.012454,0.019704,0,0.125,127,0
-0.278928,-1.39464,-0.0540155,0.031538,1,0.0125521,0.0198021,0,0.125,128,0
-0.282202,-1.41101,-0.0548268,0.0347138,1,0.0126501,0.0199001,0,0.125,129,0
-0.285477,-1.42738,-0.0556382,0.0378897,1,0.0127482,0.0199982,0,0.125,130,0
-0.288751,-1.44376,-0.0564495,0.0410655,1,0.0128463,0.0200963,0,0.125,131,0
-0.292026,-1.46013,-0.0572609,0.0442413,1,0.0129443,0.0201943,0,0.125,132,0
-0.295038,-1.47519,-0.0576707,0.0469742,1,0.0130424,0.0202924,0,0.125,133,0
-0.297793,-1.48897,-0.0576058,0.0492478,1,0.0131404,0.0203904,0,0.125,134,0
-0.300549,-1.50274,-0.0575409,0.0515215,1,0.0132385,0.0204885,0,0.125,135,0
-0.303304,-1.51652,-0.057476,0.0537952,1,0.0133366,0.0205866,0,0.125,136,0
-0.306059,-1.5303,-0.0574111,0.0560688,1,0.0134346,0.0206846,0,0.125,137,0
-0.308814,-1.54407,-0.0573462,0.0583424,1,0.0135327,0.0207827,0,0.125,138,0
-0.31102,-1.5551,-0.0565272,0.0600991,1,0.0136308,0.0208808,0,0.125,139,0
-0.31316,-1.5658,-0.0555743,0.0617875,1,0.0137288,0.0209788,0,0.125,140,0
-0.315301,-1.5765,-0.0546213,0.063476,1,0.0138269,0.0210769,0,0.125,141,0
-0.317441,-1.5872,-0.0536683,0.0651645,1,0.0139249,0.0211749,0,0.125,142,0
-0.319581,-1.5979,-0.0527154,0.0668529,1,0.014023,0.021273,0,0.125,143,0
-0.321538,-1.60769,-0.0516109,0.0684842,1,0.0141211,0.0213711,0,0.125,144,0
-0.323037,-1.61519,-0.0500037,0.0699724,1,0.0142191,0.0214691,0,0.125,145,0
-0.324536,-1.62268,-0.0483965,0.0714607,1,0.0143172,0.0215672,0,0.125,146,0
-0.326034,-1.63017,-0.0467892,0.0729489,1,0.0144153,0.0216653,0,0.125,147,0
-0.327533,-1.63766,-0.045182,0.0744372,1,0.0145133,0.0217633,0,0.125,148,0
-0.329032,-1.64516,-0.0435747,0.0759255,1,0.0146114,0.0218614,0,0.125,149,0
-0.330066,-1.65033,-0.0417601,0.0772272,1,0.0147095,0.0219595,0,0.125,150,0
-0.330879,-1.6544,-0.0398014,0.0784449,1,0.0148075,0.0220575,0,0.125,151,0
-0.331693,-1.65847,-0.0378428,0.0796626,1,0.0149056,0.0221556,0,0.125,152,0
