U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
4.83022,0.210605,0.0277556,1,0.013723,0.0574499,-0.0167651,0.125,225,0
4.82755,0.211049,0.0266402,1,0.013784,0.0574499,-0.0167041,0.125,226,0
4.82488,0.211493,0.0255249,1,0.013845,0.0574499,-0.0166431,0.125,227,0
4.82221,0.211936,0.0244095,1,0.013906,0.0574499,-0.0165821,0.125,228,0
4.81953,0.21238,0.0232942,1,0.013967,0.0574499,-0.0165211,0.125,229,0
4.81686,0.212824,0.0221788,1,0.014028,0.0574499,-0.0164601,0.125,230,0
4.81419,0.213268,0.0210635,1,0.014089,0.0574499,-0.0163991,0.125,231,0
4.81152,0.213711,0.0199482,1,0.01415,0.0574499,-0.0163381,0.125,232,0
4.80687,0.214972,0.0177879,1,0.014211,0.0574499,-0.0162771,0.125,233,0
4.80197,0.216338,0.0154941,1,0.014272,0.0574499,-0.0162161,0.125,234,0
4.79707,0.217704,0.0132001,1,0.014333,0.0574499,-0.0161551,0.125,235,0
4.79304,0.218416,0.011158,1,0.0143939,0.0574499,-0.0160942,0.125,236,0
4.78955,0.218727,0.00927086,1,0.0144549,0.0574499,-0.0160332,0.125,237,0
4.78606,0.219038,0.00738379,1,0.0145159,0.0574499,-0.0159722,0.125,238,0
4.78257,0.219348,0.00549666,1,0.0145769,0.0574499,-0.0159112,0.125,239,0
4.77909,0.219659,0.00360959,1,0.0146379,0.0574499,-0.0158502,0.125,240,0
4.7756,0.21997,0.00172246,1,0.0146989,0.0574499,-0.0157892,0.125,241,0
4.77211,0.22028,-0.000164617,1,0.0147599,0.0574499,-0.0157282,0.125,242,0
4.76862,0.220591,-0.00205169,1,0.0148209,0.0574499,-0.0156672,0.125,243,0
4.76513,0.220902,-0.00393882,1,0.0148819,0.0574499,-0.0156062,0.125,244,0
4.76164,0.221212,-0.00582592,1,0.0149429,0.0574499,-0.0155452,0.125,245,0
4.75815,0.221523,-0.00771302,1,0.0150039,0.0574499,-0.0154842,0.125,246,0
4.75466,0.221834,-0.00960011,1,0.0150649,0.0574499,-0.0154232,0.125,247,0
4.75056,0.222303,-0.0114676,1,0.0151258,0.0574499,-0.0153623,0.125,248,0
4.74646,0.222772,-0.0133351,1,0.0151868,0.0574499,-0.0153013,0.125,249,0
4.74235,0.223242,-0.0152026,1,0.0152478,0.05745,-0.0152403,0.125,250,0
4.73825,0.223711,-0.01707,1,0.0153088,0.05745,-0.0151793,0.125,251,0
4.73414,0.22418,-0.0189375,1,0.0153698,0.05745,-0.0151183,0.125,252,0
4.73004,0.22465,-0.020805,1,0.0154308,0.05745,-0.0150573,0.125,253,0
4.72594,0.225119,-0.0226725,1,0.0154918,0.05745,-0.0149963,0.125,254,0
4.72183,0.225588,-0.02454,1,0.0155528,0.05745,-0.0149353,0.125,255,0
4.71773,0.226058,-0.0264075,1,0.0156138,0.05745,-0.0148743,0.125,256,0
4.71363,0.226527,-0.028275,1,0.0156748,0.05745,-0.0148133,0.125,257,0
4.70952,0.226996,-0.0301425,1,0.0157358,0.05745,-0.0147523,0.125,258,0
4.70521,0.227502,-0.0317589,1,0.0157967,0.05745,-0.0146914,0.125,259,0
4.70055,0.228067,-0.0329676,1,0.0158577,0.05745,-0.0146304,0.125,260,0
4.69588,0.228632,-0.0341763,1,0.0159187,0.05745,-0.0145694,0.125,261,0
4.69122,0.229198,-0.0353851,1,0.0159797,0.05745,-0.0145084,0.125,262,0
4.68656,0.229763,-0.0365938,1,0.0160407,0.05745,-0.0144474,0.125,263,0
4.6819,0.230328,-0.0378026,1,0.0161017,0.05745,-0.0143864,0.125,264,0
4.67724,0.230893,-0.0390113,1,0.0161627,0.05745,-0.0143254,0.125,265,0
4.67258,0.231458,-0.0402201,1,0.0162237,0.05745,-0.0142644,0.125,266,0
4.66792,0.232024,-0.0414288,1,0.0162847,0.05745,-0.0142034,0.125,267,0
4.66326,0.232589,-0.0426375,1,0.0163457,0.05745,-0.0141424,0.125,268,0
4.6586,0.233154,-0.0438463,1,0.0164067,0.05745,-0.0140814,0.125,269,0
4.65394,0.233719,-0.045055,1,0.0164677,0.05745,-0.0140204,0.125,270,0
4.64851,0.234332,-0.045604,1,0.0165286,0.05745,-0.0139595,0.125,271,0
4.64285,0.23496,-0.0459444,1,0.0165896,0.05745,-0.0138985,0.125,272,0
4.63719,0.235588,-0.0462848,1,0.0166506,0.05745,-0.0138375,0.125,273,0
4.63152,0.236217,-0.0466253,1,0.0167116,0.05745,-0.0137765,0.125,274,0
4.62586,0.236845,-0.0469657,1,0.0167726,0.05745,-0.0137155,0.125,275,0
4.62019,0.237473,-0.0473061,1,0.0168336,0.05745,-0.0136545,0.125,276,0
4.61453,0.238101,-0.0476465,1,0.0168946,0.05745,-0.0135935,0.125,277,0
4.60887,0.238729,-0.0479869,1,0.0169556,0.05745,-0.0135325,0.125,278,0
4.6032,0.239357,-0.0483274,1,0.0170166,0.05745,-0.0134715,0.125,279,0
4.59754,0.239985,-0.0486678,1,0.0170776,0.05745,-0.0134105,0.125,280,0
4.59188,0.240613,-0.0490082,1,0.0171386,0.05745,-0.0133495,0.125,281,0
4.58617,0.241249,-0.0492432,1,0.0171995,0.05745,-0.0132886,0.125,282,0
4.58015,0.241946,-0.0486577,1,0.0172605,0.05745,-0.0132276,0.125,283,0
4.57413,0.242642,-0.0480722,1,0.0173215,0.05745,-0.0131666,0.125,284,0
4.5681,0.243339,-0.0474867,1,0.0173825,0.05745,-0.0131056,0.125,285,0
4.56208,0.244036,-0.0469013,1,0.0174435,0.05745,-0.0130446,0.125,286,0
4.55606,0.244732,-0.0463158,1,0.0175045,0.05745,-0.0129836,0.125,287,0
4.55004,0.245429,-0.0457303,1,0.0175655,0.05745,-0.0129226,0.125,288,0
4.54401,0.246125,-0.0451448,1,0.0176265,0.05745,-0.0128616,0.125,289,0
4.53799,0.246822,-0.0445593,1,0.0176875,0.05745,-0.0128006,0.125,290,0
4.53197,0.247518,-0.0439738,1,0.0177485,0.05745,-0.0127396,0.125,291,0
4.52595,0.248215,-0.0433884,1,0.0178095,0.05745,-0.0126786,0.125,292,0
4.51993,0.248912,-0.0428029,1,0.0178705,0.05745,-0.0126176,0.125,293,0
4.51413,0.249563,-0.0421465,1,0.0179314,0.05745,-0.0125567,0.125,294,0
4.50907,0.250063,-0.0412554,1,0.0179924,0.05745,-0.0124957,0.125,295,0
4.50401,0.250564,-0.0403643,1,0.0180534,0.05745,-0.0124347,0.125,296,0
4.49896,0.251065,-0.0394731,1,0.0181144,0.05745,-0.0123737,0.125,297,0
4.4939,0.251565,-0.038582,1,0.0181754,0.05745,-0.0123127,0.125,298,0
4.48884,0.252066,-0.0376909,1,0.0182364,0.05745,-0.0122517,0.125,299,0
4.48378,0.252566,-0.0367997,1,0.0182974,0.05745,-0.0121907,0.125,300,0
4.47873,0.253067,-0.0359086,1,0.0183584,0.05745,-0.0121297,0.125,301,0
4.47367,0.253568,-0.0350175,1,0.0184194,0.05745,-0.0120687,0.125,302,0
