u_div,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
-0.301303,-1.50652,-0.0076431,-0.311616,1,0.0191223,0.0263723,0,0.125,195,0
-0.298691,-1.49345,-0.00650716,-0.311501,1,0.0192203,0.0264703,0,0.125,196,0
-0.295586,-1.47793,-0.00608024,-0.310728,1,0.0193184,0.0265684,0,0.125,197,0
-0.292481,-1.4624,-0.00565332,-0.309954,1,0.0194165,0.0266665,0,0.125,198,0
-0.289376,-1.44688,-0.0052264,-0.309181,1,0.0195145,0.0267645,0,0.125,199,0
-0.286271,-1.43136,-0.00479947,-0.308408,1,0.0196126,0.0268626,0,0.125,200,0
-0.282982,-1.41491,-0.00459636,-0.307483,1,0.0197107,0.0269607,0,0.125,201,0
-0.279362,-1.39681,-0.00479335,-0.306287,1,0.0198087,0.0270587,0,0.125,202,0
-0.275742,-1.37871,-0.00499035,-0.305091,1,0.0199068,0.0271568,0,0.125,203,0
-0.272122,-1.36061,-0.00518734,-0.303896,1,0.0200049,0.0272549,0,0.125,204,0
-0.268503,-1.34251,-0.00538434,-0.3027,1,0.0201029,0.0273529,0,0.125,205,0
-0.264595,-1.32298,-0.00567349,-0.301342,1,0.020201,0.027451,0,0.125,206,0
-0.260512,-1.30256,-0.00601884,-0.299885,1,0.020299,0.027549,0,0.125,207,0
-0.256429,-1.28215,-0.00636419,-0.298428,1,0.0203971,0.0276471,0,0.125,208,0
-0.252346,-1.26173,-0.00670954,-0.296971,1,0.0204952,0.0277452,0,0.125,209,0
-0.248263,-1.24132,-0.00705489,-0.295514,1,0.0205932,0.0278432,0,0.125,210,0
-0.243844,-1.21922,-0.00722674,-0.293853,1,0.0206913,0.0279413,0,0.125,211,0
-0.239381,-1.19691,-0.0073758,-0.292164,1,0.0207894,0.0280394,0,0.125,212,0
-0.234918,-1.17459,-0.00752486,-0.290476,1,0.0208874,0.0281374,0,0.125,213,0
-0.230456,-1.15228,-0.00767391,-0.288788,1,0.0209855,0.0282355,0,0.125,214,0
-0.225948,-1.12974,-0.00777662,-0.287079,1,0.0210835,0.0283335,0,0.125,215,0
-0.221184,-1.10592,-0.00761087,-0.285247,1,0.0211816,0.0284316,0,0.125,216,0
