k,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
0.117961,1,0.0214079,0.0574497,-0.00908015,0.125,351,0
0.118418,1,0.0214689,0.0574497,-0.00901916,0.125,352,0
0.118875,1,0.0215299,0.0574497,-0.00895817,0.125,353,0
0.119283,1,0.0215909,0.0574497,-0.00889718,0.125,354,0
0.119679,1,0.0216519,0.0574497,-0.00883619,0.125,355,0
0.120075,1,0.0217129,0.0574497,-0.0087752,0.125,356,0
0.12047,1,0.0217739,0.0574497,-0.00871421,0.125,357,0
0.120866,1,0.0218349,0.0574497,-0.00865321,0.125,358,0
0.121262,1,0.0218959,0.0574497,-0.00859222,0.125,359,0
0.121657,1,0.0219569,0.0574497,-0.00853123,0.125,360,0
0.122053,1,0.0220179,0.0574497,-0.00847024,0.125,361,0
0.122449,1,0.0220789,0.0574497,-0.00840925,0.125,362,0
0.122844,1,0.0221398,0.0574497,-0.00834826,0.125,363,0
0.12324,1,0.0222008,0.0574497,-0.00828727,0.125,364,0
0.123631,1,0.0222618,0.0574497,-0.00822628,0.125,365,0
0.123986,1,0.0223228,0.0574497,-0.00816528,0.125,366,0
0.124341,1,0.0223838,0.0574497,-0.00810429,0.125,367,0
0.124696,1,0.0224448,0.0574497,-0.0080433,0.125,368,0
0.125051,1,0.0225058,0.0574497,-0.00798231,0.125,369,0
0.125406,1,0.0225668,0.0574497,-0.00792132,0.125,370,0
0.125761,1,0.0226278,0.0574497,-0.00786033,0.125,371,0
0.126116,1,0.0226888,0.0574497,-0.00779934,0.125,372,0
0.126471,1,0.0227498,0.0574497,-0.00773835,0.125,373,0
0.126827,1,0.0228107,0.0574497,-0.00767735,0.125,374,0
0.127182,1,0.0228717,0.0574498,-0.00761636,0.125,375,0
0.127537,1,0.0229327,0.0574498,-0.00755537,0.125,376,0
0.127892,1,0.0229937,0.0574498,-0.00749438,0.125,377,0
0.128183,1,0.0230547,0.0574498,-0.00743339,0.125,378,0
0.128467,1,0.0231157,0.0574498,-0.0073724,0.125,379,0
0.128752,1,0.0231767,0.0574498,-0.00731141,0.125,380,0
0.129037,1,0.0232377,0.0574498,-0.00725041,0.125,381,0
0.129322,1,0.0232987,0.0574498,-0.00718942,0.125,382,0
0.129607,1,0.0233597,0.0574498,-0.00712843,0.125,383,0
0.129892,1,0.0234207,0.0574498,-0.00706744,0.125,384,0
0.130177,1,0.0234817,0.0574498,-0.00700645,0.125,385,0
0.130462,1,0.0235426,0.0574498,-0.00694546,0.125,386,0
0.130746,1,0.0236036,0.0574498,-0.00688447,0.125,387,0
0.131031,1,0.0236646,0.0574498,-0.00682348,0.125,388,0
0.131316,1,0.0237256,0.0574498,-0.00676248,0.125,389,0
0.131601,1,0.0237866,0.0574498,-0.00670149,0.125,390,0
0.131886,1,0.0238476,0.0574498,-0.0066405,0.125,391,0
0.132149,1,0.0239086,0.0574498,-0.00657951,0.125,392,0
0.132409,1,0.0239696,0.0574498,-0.00651852,0.125,393,0
0.132669,1,0.0240306,0.0574498,-0.00645753,0.125,394,0
0.132929,1,0.0240916,0.0574498,-0.00639654,0.125,395,0
0.13319,1,0.0241526,0.0574498,-0.00633555,0.125,396,0
0.13345,1,0.0242135,0.0574498,-0.00627455,0.125,397,0
0.13371,1,0.0242745,0.0574498,-0.00621356,0.125,398,0
