Result,TKE[[m_s]²],U[m_s],V[m_s],W[m_s],vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
0.00207136,3.45227e-05,0.0689712,0.273201,4.86128,1,9,45,9,0,150
0.00210153,3.50254e-05,0.0693721,0.273706,4.85855,1,9.06,45,9.06,0,151
0.00213169,3.55282e-05,0.0697731,0.274212,4.85582,1,9.12,45,9.12,0,152
0.00216186,3.6031e-05,0.070174,0.274717,4.8531,1,9.18,45,9.18,0,153
0.00219203,3.65338e-05,0.070575,0.275223,4.85037,1,9.24,45,9.24,0,154
0.00222219,3.70365e-05,0.0709759,0.275728,4.84764,1,9.3,45,9.3,0,155
0.00225236,3.75393e-05,0.0713768,0.276233,4.84491,1,9.36,45,9.36,0,156
0.00228253,3.80421e-05,0.0717778,0.276739,4.84218,1,9.42,45,9.42,0,157
0.00231269,3.85449e-05,0.0721787,0.277244,4.83945,1,9.48,45,9.48,0,158
0.00234286,3.90477e-05,0.0725797,0.277749,4.83672,1,9.54,45,9.54,0,159
0.00237303,3.95504e-05,0.0729806,0.278255,4.834,1,9.6,45,9.6,0,160
0.00240319,4.00532e-05,0.0733816,0.27876,4.83127,1,9.66,45,9.66,0,161
0.00243336,4.0556e-05,0.0737825,0.279266,4.82854,1,9.72,45,9.72,0,162
0.00246353,4.10588e-05,0.0741834,0.279771,4.82581,1,9.78,45,9.78,0,163
0.00249369,4.15615e-05,0.0745844,0.280276,4.82308,1,9.84,45,9.84,0,164
0.00252386,4.20643e-05,0.0749853,0.280782,4.82035,1,9.9,45,9.9,0,165
0.00255403,4.25671e-05,0.0753863,0.281287,4.81762,1,9.96,45,9.96,0,166
0.00258635,4.31058e-05,0.075784,0.281776,4.81486,1,10.02,45,10.02,0,167
0.00262299,4.37164e-05,0.0761753,0.282231,4.81202,1,10.08,45,10.08,0,168
0.00265962,4.4327e-05,0.0765667,0.282687,4.80918,1,10.14,45,10.14,0,169
0.00269626,4.49376e-05,0.076958,0.283142,4.80634,1,10.2,45,10.2,0,170
0.0027329,4.55483e-05,0.0773493,0.283598,4.8035,1,10.26,45,10.26,0,171
0.00276953,4.61589e-05,0.0777407,0.284053,4.80066,1,10.32,45,10.32,0,172
0.00280617,4.67695e-05,0.078132,0.284509,4.79782,1,10.38,45,10.38,0,173
0.0028428,4.73801e-05,0.0785233,0.284964,4.79498,1,10.44,45,10.44,0,174
0.00287944,4.79907e-05,0.0789146,0.28542,4.79214,1,10.5,45,10.5,0,175
0.00291608,4.86013e-05,0.079306,0.285875,4.7893,1,10.56,45,10.56,0,176
0.00295271,4.92119e-05,0.0796973,0.286331,4.78646,1,10.62,45,10.62,0,177
0.00298935,4.98225e-05,0.0800886,0.286787,4.78362,1,10.68,45,10.68,0,178
0.00302599,5.04331e-05,0.08048,0.287242,4.78078,1,10.74,45,10.74,0,179
0.00306262,5.10437e-05,0.0808713,0.287698,4.77794,1,10.8,45,10.8,0,180
0.00309926,5.16543e-05,0.0812626,0.288153,4.7751,1,10.86,45,10.86,0,181
0.0031359,5.2265e-05,0.081654,0.288609,4.77226,1,10.92,45,10.92,0,182
0.00317253,5.28756e-05,0.0820453,0.289064,4.76942,1,10.98,45,10.98,0,183
0.00321155,5.35258e-05,0.0823588,0.289315,4.76612,1,11.04,45,11.04,0,184
0.00325176,5.4196e-05,0.0826333,0.289463,4.76259,1,11.1,45,11.1,0,185
0.00329197,5.48661e-05,0.0829078,0.289611,4.75905,1,11.16,45,11.16,0,186
0.00333217,5.55362e-05,0.0831824,0.289759,4.75552,1,11.22,45,11.22,0,187
0.00337238,5.62063e-05,0.0834569,0.289908,4.75198,1,11.28,45,11.28,0,188
0.00341259,5.68765e-05,0.0837314,0.290056,4.74845,1,11.34,45,11.34,0,189
0.00345279,5.75466e-05,0.084006,0.290204,4.74491,1,11.4,45,11.4,0,190
0.003493,5.82167e-05,0.0842805,0.290352,4.74138,1,11.46,45,11.46,0,191
0.00353321,5.88868e-05,0.0845551,0.290501,4.73784,1,11.52,45,11.52,0,192
0.00357342,5.95569e-05,0.0848296,0.290649,4.73431,1,11.58,45,11.58,0,193
0.00361362,6.02271e-05,0.0851041,0.290797,4.73078,1,11.64,45,11.64,0,194
0.00365383,6.08972e-05,0.0853787,0.290945,4.72724,1,11.7,45,11.7,0,195
0.00369404,6.15673e-05,0.0856532,0.291093,4.72371,1,11.76,45,11.76,0,196
0.00373425,6.22374e-05,0.0859277,0.291242,4.72017,1,11.82,45,11.82,0,197
0.00377445,6.29076e-05,0.0862023,0.29139,4.71664,1,11.88,45,11.88,0,198
0.00381466,6.35777e-05,0.0864768,0.291538,4.7131,1,11.94,45,11.94,0,199
0.00385487,6.42478e-05,0.0867513,0.291686,4.70957,1,12,45,12,0,200
0.00390138,6.5023e-05,0.0869528,0.291885,4.70576,1,12.06,45,12.06,0,201
0.00394789,6.57982e-05,0.0871543,0.292084,4.70196,1,12.12,45,12.12,0,202
0.0039944,6.65734e-05,0.0873557,0.292282,4.69815,1,12.18,45,12.18,0,203
0.00404091,6.73485e-05,0.0875572,0.292481,4.69435,1,12.24,45,12.24,0,204
0.00408742,6.81237e-05,0.0877587,0.29268,4.69054,1,12.3,45,12.3,0,205
0.00413394,6.88989e-05,0.0879601,0.292878,4.68673,1,12.36,45,12.36,0,206
0.00418045,6.96741e-05,0.0881616,0.293077,4.68293,1,12.42,45,12.42,0,207
0.00422696,7.04493e-05,0.0883631,0.293276,4.67912,1,12.48,45,12.48,0,208
0.00427347,7.12245e-05,0.0885645,0.293474,4.67532,1,12.54,45,12.54,0,209
0.00431998,7.19997e-05,0.088766,0.293673,4.67151,1,12.6,45,12.6,0,210
0.00436649,7.27749e-05,0.0889675,0.293872,4.66771,1,12.66,45,12.66,0,211
0.004413,7.35501e-05,0.0891689,0.29407,4.6639,1,12.72,45,12.72,0,212
0.00445952,7.43253e-05,0.0893704,0.294269,4.66009,1,12.78,45,12.78,0,213
0.00450603,7.51004e-05,0.0895719,0.294468,4.65629,1,12.84,45,12.84,0,214
0.00455254,7.58756e-05,0.0897733,0.294666,4.65248,1,12.9,45,12.9,0,215
0.00459905,7.66508e-05,0.0899748,0.294865,4.64868,1,12.96,45,12.96,0,216
0.00464703,7.74505e-05,0.0901143,0.295108,4.64464,1,13.02,45,13.02,0,217
0.00469796,7.82993e-05,0.0901299,0.295441,4.64015,1,13.08,45,13.08,0,218
