k,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
0.257327,1,0.0244532,0.0319532,0,0.125,250,0
0.257392,1,0.0245511,0.0320511,0,0.125,251,0
0.257457,1,0.0246489,0.0321489,0,0.125,252,0
0.257521,1,0.0247467,0.0322467,0,0.125,253,0
0.257551,1,0.0248445,0.0323445,0,0.125,254,0
0.25746,1,0.0249423,0.0324423,0,0.125,255,0
0.257369,1,0.0250401,0.0325401,0,0.125,256,0
0.257277,1,0.0251379,0.0326379,0,0.125,257,0
0.257186,1,0.0252358,0.0327358,0,0.125,258,0
0.257094,1,0.0253336,0.0328336,0,0.125,259,0
0.256915,1,0.0254314,0.0329314,0,0.125,260,0
0.25668,1,0.0255292,0.0330292,0,0.125,261,0
0.256444,1,0.025627,0.033127,0,0.125,262,0
0.256209,1,0.0257248,0.0332248,0,0.125,263,0
0.255973,1,0.0258226,0.0333226,0,0.125,264,0
0.255738,1,0.0259204,0.0334204,0,0.125,265,0
0.255381,1,0.0260183,0.0335183,0,0.125,266,0
0.255023,1,0.0261161,0.0336161,0,0.125,267,0
0.254665,1,0.0262139,0.0337139,0,0.125,268,0
0.254306,1,0.0263117,0.0338117,0,0.125,269,0
0.253948,1,0.0264095,0.0339095,0,0.125,270,0
0.253554,1,0.0265073,0.0340073,0,0.125,271,0
0.253099,1,0.0266051,0.0341051,0,0.125,272,0
0.252645,1,0.0267029,0.0342029,0,0.125,273,0
0.25219,1,0.0268008,0.0343008,0,0.125,274,0
0.251736,1,0.0268986,0.0343986,0,0.125,275,0
0.251281,1,0.0269964,0.0344964,0,0.125,276,0
0.250767,1,0.0270942,0.0345942,0,0.125,277,0
0.250234,1,0.027192,0.034692,0,0.125,278,0
0.249701,1,0.0272898,0.0347898,0,0.125,279,0
0.249169,1,0.0273876,0.0348876,0,0.125,280,0
0.248636,1,0.0274855,0.0349855,0,0.125,281,0
0.248094,1,0.0275833,0.0350833,0,0.125,282,0
0.247502,1,0.0276811,0.0351811,0,0.125,283,0
0.246909,1,0.0277789,0.0352789,0,0.125,284,0
0.246317,1,0.0278767,0.0353767,0,0.125,285,0
0.245724,1,0.0279745,0.0354745,0,0.125,286,0
0.245132,1,0.0280723,0.0355723,0,0.125,287,0
0.244518,1,0.0281701,0.0356701,0,0.125,288,0
0.243885,1,0.028268,0.035768,0,0.125,289,0
0.243252,1,0.0283658,0.0358658,0,0.125,290,0
0.242619,1,0.0284636,0.0359636,0,0.125,291,0
0.241986,1,0.0285614,0.0360614,0,0.125,292,0
0.241353,1,0.0286592,0.0361592,0,0.125,293,0
0.240694,1,0.028757,0.036257,0,0.125,294,0
0.240034,1,0.0288548,0.0363548,0,0.125,295,0
0.239373,1,0.0289526,0.0364526,0,0.125,296,0
0.238712,1,0.0290505,0.0365505,0,0.125,297,0
0.238052,1,0.0291483,0.0366483,0,0.125,298,0
0.237387,1,0.0292461,0.0367461,0,0.125,299,0
0.236712,1,0.0293439,0.0368439,0,0.125,300,0
0.236037,1,0.0294417,0.0369417,0,0.125,301,0
0.235362,1,0.0295395,0.0370395,0,0.125,302,0
0.234687,1,0.0296373,0.0371373,0,0.125,303,0
0.234012,1,0.0297352,0.0372352,0,0.125,304,0
0.23333,1,0.029833,0.037333,0,0.125,305,0
0.232646,1,0.0299308,0.0374308,0,0.125,306,0
0.231962,1,0.0300286,0.0375286,0,0.125,307,0
0.231277,1,0.0301264,0.0376264,0,0.125,308,0
0.230593,1,0.0302242,0.0377242,0,0.125,309,0
0.229909,1,0.030322,0.037822,0,0.125,310,0
0.229221,1,0.0304198,0.0379198,0,0.125,311,0
