t,	etaU
311.969,	0.517155
312.302,	0.4746
312.635,	0.411321
312.968,	0.381673
313.301,	0.412993
313.634,	0.456564
313.967,	0.521708
314.3,	0.612519
314.633,	0.664761
314.966,	0.661945
315.299,	0.666943
315.632,	0.698938
315.965,	0.746015
316.298,	0.789329
316.631,	0.76626
316.964,	0.724664
317.296,	0.72796
317.629,	0.669753
317.962,	0.522254
318.295,	0.367024
318.628,	0.236868
318.961,	0.180237
319.294,	0.186809
319.627,	0.258341
319.96,	0.411886
320.293,	0.536464
320.626,	0.551214
320.959,	0.491593
321.292,	0.488395
321.625,	0.617409
321.958,	0.76195
322.291,	0.791486
322.624,	0.760641
322.957,	0.767238
323.289,	0.809328
323.622,	0.797189
323.955,	0.702599
324.288,	0.621469
324.621,	0.647593
324.954,	0.767249
325.287,	0.887224
325.62,	0.931497
325.953,	0.861375
326.286,	0.756107
326.619,	0.768431
326.952,	0.922049
327.285,	1.03463
327.618,	0.931738
327.951,	0.641762
328.284,	0.356352
328.617,	0.211903
328.95,	0.174411
329.283,	0.17072
329.615,	0.209787
329.948,	0.325663
330.281,	0.517288
330.614,	0.688585
330.947,	0.737634
331.28,	0.704984
331.613,	0.691458
331.946,	0.73312
332.279,	0.752764
332.612,	0.674491
332.945,	0.587677
333.278,	0.593516
333.611,	0.684645
333.944,	0.757819
334.277,	0.77415
334.61,	0.791042
334.943,	0.788831
335.276,	0.753764
335.608,	0.721795
335.941,	0.737587
336.274,	0.829928
336.607,	0.870159
336.94,	0.790188
337.273,	0.721661
337.606,	0.740564
337.939,	0.898905
338.272,	1.08483
338.605,	1.08551
338.938,	0.916008
339.271,	0.753984
339.604,	0.743988
339.937,	0.861914
340.27,	0.923167
340.603,	0.803705
340.936,	0.620954
341.269,	0.531657
341.601,	0.525815
341.934,	0.514785
342.267,	0.517564
342.6,	0.60621
342.933,	0.787014
343.266,	0.971046
343.599,	1.03736
343.932,	0.936353
344.265,	0.722932
344.598,	0.577176
344.931,	0.604254
345.264,	0.758776
345.597,	0.873128
345.93,	0.838796
346.263,	0.755627
346.596,	0.757179
346.929,	0.791134
347.262,	0.764819
347.594,	0.663718
347.927,	0.537262
348.26,	0.495256
348.593,	0.523245
348.926,	0.566036
349.259,	0.667883
349.592,	0.833536
349.925,	0.976389
350.258,	1.01122
350.591,	0.866108
350.924,	0.611674
351.257,	0.426251
351.59,	0.344359
351.923,	0.286799
352.256,	0.245217
352.589,	0.237855
352.922,	0.319111
353.255,	0.499752
353.587,	0.698179
353.92,	0.91421
354.253,	1.11264
354.586,	1.16193
354.919,	1.00916
355.252,	0.722471
355.585,	0.512289
355.918,	0.608821
356.251,	0.930474
356.584,	1.18504
356.917,	1.2307
357.25,	1.11383
357.583,	0.920397
357.916,	0.708311
358.249,	0.537775
358.582,	0.461865
358.915,	0.509577
359.248,	0.589511
359.58,	0.563867
359.913,	0.441536
360.246,	0.398332
360.579,	0.482634
360.912,	0.563536
361.245,	0.546359
361.578,	0.458621
361.911,	0.427986
362.244,	0.533318
362.577,	0.683493
362.91,	0.765827
363.243,	0.804964
363.576,	0.823642
363.909,	0.780767
364.242,	0.648004
364.575,	0.470113
364.908,	0.344424
365.241,	0.326045
365.573,	0.37814
365.906,	0.442299
366.239,	0.458448
366.572,	0.397619
366.905,	0.308119
367.238,	0.245679
367.571,	0.223513
367.904,	0.304767
368.237,	0.549187
368.57,	0.871991
368.903,	1.06377
369.236,	0.997091
369.569,	0.772575
369.902,	0.620487
370.235,	0.626764
370.568,	0.671442
370.901,	0.61666
371.234,	0.503831
371.567,	0.453329
371.899,	0.49998
372.232,	0.584068
372.565,	0.608673
372.898,	0.567358
373.231,	0.51992
373.564,	0.493886
373.897,	0.470197
374.23,	0.415069
374.563,	0.342208
374.896,	0.291897
375.229,	0.257547
375.562,	0.248951
375.895,	0.260107
376.228,	0.284964
376.561,	0.322623
376.894,	0.380919
377.227,	0.439796
377.56,	0.456853
377.892,	0.438123
378.225,	0.427865
378.558,	0.4483
378.891,	0.486059
379.224,	0.484236
379.557,	0.407873
379.89,	0.339875
380.223,	0.383568
380.556,	0.533645
380.889,	0.665248
381.222,	0.688
381.555,	0.632844
381.888,	0.56959
382.221,	0.535411
382.554,	0.533335
382.887,	0.53293
383.22,	0.532313
383.553,	0.527588
383.885,	0.505821
384.218,	0.503026
384.551,	0.54071
384.884,	0.554184
385.217,	0.548024
385.55,	0.563024
385.883,	0.552232
386.216,	0.463837
386.549,	0.323036
386.882,	0.204505
387.215,	0.202655
387.548,	0.35906
387.881,	0.550557
388.214,	0.659711
388.547,	0.671922
388.88,	0.613664
389.213,	0.530763
389.546,	0.482073
389.878,	0.506921
390.211,	0.613774
390.544,	0.748304
390.877,	0.779077
391.21,	0.635709
391.543,	0.432521
391.876,	0.366164
392.209,	0.439757
392.542,	0.527224
392.875,	0.59227
393.208,	0.657964
393.541,	0.725119
393.874,	0.747373
394.207,	0.672868
394.54,	0.533713
394.873,	0.440341
395.206,	0.415216
395.539,	0.422143
395.871,	0.455565
396.204,	0.546741
396.537,	0.693834
396.87,	0.809376
397.203,	0.83547
397.536,	0.773169
397.869,	0.637416
398.202,	0.539144
398.535,	0.538861
398.868,	0.543498
399.201,	0.531636
399.534,	0.545704
399.867,	0.607165
400.2,	0.726378
400.533,	0.861383
400.866,	0.946988
401.199,	0.937898
401.532,	0.80354
401.864,	0.645561
402.197,	0.603865
402.53,	0.668881
402.863,	0.731841
403.196,	0.675436
403.529,	0.509381
403.862,	0.375394
404.195,	0.333793
404.528,	0.367597
404.861,	0.472247
405.194,	0.556741
405.527,	0.532476
405.86,	0.421898
406.193,	0.29578
406.526,	0.210109
406.859,	0.233667
407.192,	0.35218
407.525,	0.445981
407.857,	0.441231
408.19,	0.373061
408.523,	0.330243
408.856,	0.356774
409.189,	0.381213
409.522,	0.374806
409.855,	0.38912
410.188,	0.422183
410.521,	0.449021
410.854,	0.4494
411.187,	0.413265
411.52,	0.358992
411.853,	0.305887
412.186,	0.309342
412.519,	0.439955
412.852,	0.638079
413.185,	0.765324
413.518,	0.745294
413.851,	0.604951
414.183,	0.431698
414.516,	0.31
414.849,	0.260806
415.182,	0.249741
415.515,	0.240749
415.848,	0.223475
416.181,	0.216833
416.514,	0.253304
416.847,	0.30724
417.18,	0.338087
417.513,	0.355285
417.846,	0.394908
418.179,	0.45278
418.512,	0.466001
418.845,	0.41515
419.178,	0.335171
419.511,	0.283849
419.844,	0.364191
420.176,	0.574116
420.509,	0.777537
420.842,	0.844845
421.175,	0.734251
421.508,	0.553179
421.841,	0.481235
422.174,	0.530667
422.507,	0.591677
422.84,	0.603395
423.173,	0.560441
423.506,	0.476015
423.839,	0.369525
424.172,	0.277745
424.505,	0.263381
424.838,	0.375172
425.171,	0.550751
425.504,	0.664661
425.837,	0.679578
426.169,	0.627171
426.502,	0.529847
426.835,	0.427246
427.168,	0.325018
427.501,	0.229662
427.834,	0.216808
428.167,	0.287475
428.5,	0.359258
428.833,	0.372697
429.166,	0.340893
429.499,	0.36937
429.832,	0.506616
430.165,	0.653157
430.498,	0.725171
430.831,	0.746796
431.164,	0.738697
431.497,	0.662062
431.83,	0.479363
432.162,	0.263216
432.495,	0.176759
432.828,	0.250995
433.161,	0.372013
433.494,	0.438287
433.827,	0.414264
434.16,	0.360174
434.493,	0.348205
434.826,	0.359349
435.159,	0.356138
435.492,	0.334358
435.825,	0.333912
436.158,	0.394511
