t	etaU
498.333	0.0798001
498.889	0.00355366
499.444	0.112408
500	0.0443027
500.556	0.03284
501.111	0.049802
501.667	0.0267095
502.222	0.0435603
502.778	0.0285953
503.333	0.0106123
503.889	0.0255067
504.444	0.000445975
505	0.0284763
505.556	0.057049
506.111	0.0639391
506.667	0.0534654
507.222	0.0714423
507.778	0.0641292
508.333	0.0143243
508.889	0.0322416
509.444	0.0779124
510	0.00806895
510.556	0.0465717
511.111	0.0232816
511.667	0.100522
512.222	0.0545845
512.778	0.0733886
513.333	0.0218546
513.889	0.0554452
514.444	0.056074
515	0.089669
515.556	0.0737188
516.111	0.0267679
516.667	0.0506407
517.222	0.0210415
517.778	0.00607241
518.333	0.00129154
518.889	0.0950984
519.444	0.00658772
520	0.0168995
520.556	0.0429368
521.111	0.0285146
521.667	0.0028242
522.222	0.114039
522.778	0.07744
523.333	0.0578727
523.889	0.123742
524.444	0.0288935
525	0.0224888
525.556	0.0920922
526.111	0.0422409
526.667	0.00283246
527.222	0.0611619
527.778	0.0435556
528.333	0.0171488
528.889	0.0326195
529.444	0.0216303
530	0.0479856
530.556	0.0492457
531.111	0.0773965
531.667	0.0414416
532.222	0.0531268
532.778	0.0216018
533.333	0.00729528
533.889	0.049433
534.444	0.0169395
535	0.0100054
535.556	0.0419543
536.111	0.0542722
536.667	0.0210386
537.222	0.015231
537.778	0.0271398
538.333	0.0556681
538.889	0.152351
539.444	0.044669
540	0.0395423
540.556	0.0135625
541.111	0.0547003
541.667	0.00719319
542.222	0.0331203
542.778	0.105482
543.333	0.00962133
543.889	0.0790701
544.444	0.0379311
545	0.0418644
545.556	0.0146384
546.111	0.0738277
546.667	0.0241257
547.222	0.0868465
547.778	0.0133463
548.333	0.0364897
548.889	0.0470039
549.444	0.0293022
550	0.0305199
550.556	0.0664744
551.111	0.113738
551.667	0.0761602
552.222	0.0145484
552.778	0.0290571
553.333	0.00796835
553.889	0.056605
554.444	0.0102052
555	0.0917027
555.556	0.0013562
556.111	0.0512287
556.667	0.0610611
557.222	0.00298445
557.778	0.02142
558.333	0.088188
558.889	0.018413
559.444	0.0522631
560	0.0303161
560.556	0.0334316
561.111	0.0218342
561.667	0.00169182
562.222	0.0247422
562.778	0.00291197
563.333	0.0769198
563.889	0.0215911
564.444	0.0108041
565	0.0108575
565.556	0.0723004
566.111	0.0396234
566.667	0.0170189
567.222	0.037554
567.778	0.00963863
568.333	0.0377904
568.889	0.0672546
569.444	0.0196778
570	0.022165
570.556	0.0379313
571.111	0.0154638
571.667	0.0569914
572.222	0.00634642
572.778	0.051429
573.333	0.0321041
573.889	0.0377974
574.444	0.0280341
575	0.0337902
575.556	0.0752767
576.111	0.0191573
576.667	0.0583121
577.222	0.0200865
577.778	0.0582242
578.333	0.0231674
578.889	0.0579203
579.444	0.00398288
580	0.0358782
580.556	0.0400074
581.111	0.0231284
581.667	0.0107412
582.222	0.0257401
582.778	0.0539843
583.333	0.065185
