t,	etaU
468.533,	2.12083
469.088,	1.88528
469.642,	2.01988
470.197,	2.38325
470.751,	2.66393
471.306,	2.48178
471.86,	1.80823
472.415,	1.09094
472.969,	0.766512
473.524,	0.988812
474.078,	1.85249
474.633,	2.94963
475.187,	3.47541
475.742,	3.03223
476.296,	1.97502
476.851,	1.0323
477.405,	0.751754
477.96,	0.890975
478.514,	1.04195
479.068,	1.46506
479.623,	2.15038
480.177,	2.5496
480.732,	2.37742
481.286,	2.04435
481.841,	2.04036
482.395,	2.53357
482.95,	3.1311
483.504,	3.26374
484.059,	2.90628
484.613,	2.38834
485.168,	2.0462
485.722,	2.03982
486.277,	2.33125
486.831,	2.81847
487.386,	3.26918
487.94,	3.30256
488.495,	2.85221
489.049,	2.07928
489.604,	1.45431
490.158,	1.37531
490.713,	1.55073
491.267,	1.57548
491.821,	1.46434
492.376,	1.29387
492.93,	1.10343
493.485,	1.20541
494.039,	1.71593
494.594,	2.33472
495.148,	2.70408
495.703,	2.57451
496.257,	1.99623
496.812,	1.44553
497.366,	1.17801
497.921,	1.24707
498.475,	1.79645
499.03,	2.62665
499.584,	3.19252
500.139,	3.11997
500.693,	2.47845
501.248,	1.65025
501.802,	1.1467
502.357,	1.27179
502.911,	1.88639
503.465,	2.54379
504.02,	2.7993
504.574,	2.48124
505.129,	1.87534
505.683,	1.48607
506.238,	1.63841
506.792,	2.24005
507.347,	2.83073
507.901,	2.86192
508.456,	2.28437
509.01,	1.69784
509.565,	1.52222
510.119,	1.7436
510.674,	2.05768
511.228,	2.11958
511.783,	1.92896
512.337,	1.64983
512.892,	1.46061
513.446,	1.55083
514.001,	1.90558
514.555,	2.3129
515.11,	2.46695
515.664,	2.22253
516.218,	1.75259
516.773,	1.34935
517.327,	1.38306
517.882,	1.75613
518.436,	2.0911
518.991,	2.22394
519.545,	2.12977
520.1,	1.98155
520.654,	1.90552
521.209,	1.83967
521.763,	1.80576
522.318,	1.84154
522.872,	1.91915
523.427,	1.96901
523.981,	1.90552
524.536,	1.73812
525.09,	1.49151
525.645,	1.32623
526.199,	1.4237
526.754,	1.91007
527.308,	2.57645
527.862,	2.81118
528.417,	2.3345
528.971,	1.45205
529.526,	0.79796
530.08,	0.843814
530.635,	1.46467
531.189,	2.17785
531.744,	2.59869
532.298,	2.60411
532.853,	2.3334
533.407,	1.92714
533.962,	1.56818
534.516,	1.35222
535.071,	1.31809
535.625,	1.54892
536.18,	1.84499
536.734,	1.90338
537.289,	1.66435
537.843,	1.49086
538.398,	1.71237
538.952,	2.1594
539.507,	2.41751
540.061,	2.24779
540.615,	1.79502
541.17,	1.39724
541.724,	1.22643
542.279,	1.32011
542.833,	1.64248
543.388,	2.02428
543.942,	2.2023
544.497,	2.08353
545.051,	1.87414
545.606,	1.66336
546.16,	1.57041
546.715,	1.65763
547.269,	1.73164
547.824,	1.69336
548.378,	1.48524
548.933,	1.11979
549.487,	0.778151
550.042,	0.548934
550.596,	0.71339
551.151,	1.38974
551.705,	2.1962
552.259,	2.62945
552.814,	2.37341
553.368,	1.65735
553.923,	1.0554
554.477,	0.816215
555.032,	0.7957
555.586,	0.99778
556.141,	1.45538
556.695,	1.94121
557.25,	2.23749
557.804,	2.37709
558.359,	2.33246
558.913,	2.29154
559.468,	2.27931
560.022,	2.01154
560.577,	1.55474
561.131,	1.17347
561.686,	0.958615
562.24,	0.942746
562.795,	1.15673
563.349,	1.53823
563.904,	2.08235
564.458,	2.5727
565.012,	2.59057
565.567,	2.07117
566.121,	1.56787
566.676,	1.42253
567.23,	1.4866
567.785,	1.57506
568.339,	1.59815
568.894,	1.54256
569.448,	1.41192
570.003,	1.31459
570.557,	1.35829
571.112,	1.66351
571.666,	2.00835
572.221,	1.99186
572.775,	1.63718
573.33,	1.20147
573.884,	0.769079
574.439,	0.49714
574.993,	0.611457
575.548,	1.10331
576.102,	1.69052
576.657,	2.05503
577.211,	2.16588
577.765,	2.05599
578.32,	1.82102
578.874,	1.52357
579.429,	1.2788
579.983,	1.23674
580.538,	1.29773
581.092,	1.24174
581.647,	1.07079
582.201,	1.00028
582.756,	1.25412
583.31,	1.74752
583.865,	2.18158
584.419,	2.32309
584.974,	2.03342
585.528,	1.45817
586.083,	0.894009
586.637,	0.516165
587.192,	0.362045
587.746,	0.59884
588.301,	1.17682
588.855,	1.75174
589.409,	2.04069
589.964,	1.94715
590.518,	1.59606
591.073,	1.42268
591.627,	1.5538
592.182,	1.66568
592.736,	1.63477
593.291,	1.48908
593.845,	1.27322
594.4,	1.1346
594.954,	1.26693
595.509,	1.60992
596.063,	2.04202
596.618,	2.30779
597.172,	2.11065
597.727,	1.55593
598.281,	1.10232
598.836,	1.04954
599.39,	1.32097
599.945,	1.61952
600.499,	1.68649
601.054,	1.57934
601.608,	1.50141
602.162,	1.59163
602.717,	1.71227
603.271,	1.79066
603.826,	1.81378
604.38,	1.66902
604.935,	1.34794
