t,	etaU
417.373,	0.940769
417.872,	1.17032
418.371,	1.07456
418.871,	0.809642
419.37,	0.633878
419.869,	0.696788
420.368,	0.837063
420.868,	0.886897
421.367,	0.876904
421.866,	0.812267
422.365,	0.709471
422.865,	0.672024
423.364,	0.713383
423.863,	0.729622
424.362,	0.690702
424.862,	0.611285
425.361,	0.560846
425.86,	0.656186
426.359,	0.862614
426.859,	1.01542
427.358,	1.10145
427.857,	1.12488
428.356,	1.10319
428.856,	1.12703
429.355,	1.11913
429.854,	0.99833
430.353,	0.825583
430.853,	0.675708
431.352,	0.692614
431.851,	0.877825
432.35,	1.03707
432.85,	1.05253
433.349,	0.913238
433.848,	0.800806
434.347,	0.892747
434.847,	1.04625
435.346,	1.04998
435.845,	0.860604
436.344,	0.593013
436.844,	0.466796
437.343,	0.498482
437.842,	0.530213
438.341,	0.514191
438.841,	0.501461
439.34,	0.623371
439.839,	0.895665
440.338,	1.0814
440.838,	1.07228
441.337,	0.915497
441.836,	0.701044
442.335,	0.592221
442.835,	0.568797
443.334,	0.530444
443.833,	0.516042
444.332,	0.546254
444.832,	0.581451
445.331,	0.557056
445.83,	0.437624
446.329,	0.291433
446.829,	0.243678
447.328,	0.409753
447.827,	0.696453
448.326,	0.876614
448.826,	0.845378
449.325,	0.637109
449.824,	0.44085
450.323,	0.434143
450.823,	0.570908
451.322,	0.705248
451.821,	0.792748
452.32,	0.841102
452.82,	0.850344
453.319,	0.771208
453.818,	0.570718
454.317,	0.37646
454.817,	0.363856
455.316,	0.501596
455.815,	0.626387
456.314,	0.627424
456.814,	0.559938
457.313,	0.544816
457.812,	0.548847
458.311,	0.489768
458.811,	0.378909
459.31,	0.283926
459.809,	0.281234
460.308,	0.35278
460.808,	0.43901
461.307,	0.551645
461.806,	0.6763
462.305,	0.754784
462.805,	0.739789
463.304,	0.650866
463.803,	0.572157
464.302,	0.592475
464.802,	0.675644
465.301,	0.684765
465.8,	0.613644
466.299,	0.531018
466.799,	0.465375
467.298,	0.45107
467.797,	0.458681
468.296,	0.452166
468.796,	0.457517
469.295,	0.432264
469.794,	0.337041
470.293,	0.237699
470.793,	0.21967
471.292,	0.296405
471.791,	0.390007
472.29,	0.421436
472.79,	0.398754
473.289,	0.447891
473.788,	0.613268
474.287,	0.751551
