t	tSc	energy	enstrophy	enScaled	ensScaled
149	52.894999999999996	0.158833	4419.775	0.9665902622114373	1.0460508605215464
150	53.25	0.1548652	4436.263	0.9424439145229686	1.0499531602060959
151	53.605	0.1525952	4430.742	0.9286296574402466	1.0486464767661157
152	53.96	0.1689645	4425.857	1.0282462735037705	1.0474903187142581
153	54.315	0.1730926	4408.452	1.05336813899416	1.043370987927651
154	54.67	0.1729353	4411.159	1.0524108779196613	1.044011667527728
155	55.025	0.1682321	4397.77	1.0237891977824554	1.0408428240975711
156	55.38	0.1631942	4348.376	0.9931306754225239	1.029152492303622
157	55.735	0.1628425	4292.95	0.9909903784110731	1.0160345360738892
158	56.09	0.1661347	4246.688	1.011025311084085	1.0050854708139048
159	56.445	0.1662967	4221.352	1.0120111743648783	0.9990890695033914
160	56.800000000000004	0.1682956	4221.282	1.024175631846223	0.9990725022436924
161	57.155	0.1662378	4202.74	1.0116527339498242	0.9946840718245441
162	57.510000000000005	0.1635266	4190.367	0.9951535208208924	0.9917556903351622
163	57.864999999999995	0.1597232	4194.534	0.9720076417951549	0.9927419156375346
164	58.21999999999999	0.1609454	4221.777	0.9794454325469181	0.9991896564372786
165	58.574999999999996	0.1605756	4242.256	0.9771949866133541	1.0040365265998143
166	58.92999999999999	0.1651121	4262.868	1.004802201263472	1.008914874555778
167	59.285	0.1669092	4265.62	1.0157385895468902	1.0095662045370906
168	59.63999999999999	0.1647096	4259.298	1.0023527570010071	1.008069944311125
169	59.995	0.1649461	4261.004	1.0037919956794492	1.0084737120975054
170	60.349999999999994	0.1588694	4263.909	0.9668117771708253	1.0091612533750172
171	60.705	0.1568382	4260.925	0.9544507555909026	1.0084550147615594
172	61.059999999999995	0.1653319	4290.116	1.0061398108259312	1.015363798731215
173	61.415	0.1624126	4319.405	0.9883741893714861	1.0222957768644492
174	61.769999999999996	0.1617633	4317.548	0.9844228249997632	1.0218562711321464
175	62.125	0.1632573	4298.274	0.9935146752559686	1.0172945945115737
176	62.48	0.1662402	4305.335	1.0116673393317621	1.0189657576649338
177	62.835	0.1633727	4313.749	0.9942169507041388	1.0209571422807633
178	63.19	0.159601	4310.024	0.9712639844314946	1.0200755273896338
179	63.545	0.1604801	4313.483	0.9766138141237505	1.020894186693907
180	63.9	0.1632145	4385.452	0.9932542126114134	1.0379274597408097
181	64.255	0.1656497	4492.667	1.0080738068175124	1.0633025847213389
182	64.61	0.1699727	4578.509	1.0343817510327575	1.083619251965461
183	64.965	0.1691402	4628.646	1.0293155091731248	1.095485433387359
184	65.32000000000001	0.1703787	4651.456	1.0368524948105482	1.100883993297874
185	65.675	0.1742391	4648.052	1.0603452516573058	1.1000783511262213
186	66.03	0.1718476	4609.785	1.0457915971139886	1.0910215035990107
187	66.385	0.1670838	4535.936	1.0168011310828564	1.0735432812916181
188	66.74	0.1692497	4469.752	1.0299818797240314	1.0578791739212752
189	67.095	0.1665303	4441.06	1.013432764873479	1.0510884908457603
190	67.44999999999999	0.1676696	4434.608	1.0203660613908117	1.049561462851782
191	67.80499999999999	0.1637672	4438.594	0.9966177103601448	1.0505048499540754
192	68.16	0.1676499	4449.61	1.0202461755474066	1.0531120632804336
193	68.515	0.1644499	4472.346	1.000772332963834	1.0584931092306953
194	68.86999999999999	0.1612959	4500.617	0.9815784268674	1.0651841520728773
195	69.225	0.1666028	4508.772	1.013873969119513	1.0671142378278202
196	69.58	0.1688486	4463.6	1.0275409552676966	1.0564231484688644
197	69.935	0.1686617	4395.445	1.0264035611492999	1.040292554400423
198	70.28999999999999	0.1688595	4352.784	1.027607288043997	1.0301957563143869
