x	ux	uy
473.5	0.19019	0.36577
474	0.18936	0.29753
474.5	0.14443	0.41182
475	0.11727	0.56236
475.5	0.12181	0.45316
476	0.1304	0.32763
476.5	0.13635	0.28203
477	0.12047	0.30763
477.5	0.12383	0.39507
478	0.1541	0.37588
478.5	0.14443	0.33229
479	0.081203	0.2864
479.5	0.04073	0.22918
480	0.027984	0.28725
480.5	0.072552	0.37458
481	0.15421	0.31644
481.5	0.17971	0.25748
482	0.18301	0.18969
482.5	0.16503	0.16518
483	0.15298	0.24745
483.5	0.15839	0.29954
484	0.13718	0.30635
484.5	0.12408	0.24077
485	0.13356	0.15849
485.5	0.16965	0.10627
486	0.19443	0.1117
486.5	0.21998	0.18807
487	0.19918	0.26213
487.5	0.12258	0.2314
488	0.072208	0.19312
488.5	0.066468	0.18617
489	0.09207	0.19867
489.5	0.13032	0.21762
490	0.1348	0.30519
490.5	0.095629	0.44174
491	0.093369	0.49821
491.5	0.12182	0.43733
492	0.089359	0.3606
492.5	0.050031	0.29192
493	0.050509	0.30759
493.5	0.065657	0.31573
494	0.083018	0.32267
494.5	0.11475	0.29232
495	0.13136	0.24178
495.5	0.11154	0.3238
496	0.097532	0.38873
496.5	0.11249	0.33173
497	0.13454	0.26267
497.5	0.13167	0.31028
498	0.12024	0.3552
498.5	0.13504	0.29087
499	0.18042	0.28644
499.5	0.19392	0.36775
500	0.18534	0.37706
500.5	0.17364	0.32572
501	0.13509	0.31492
501.5	0.10946	0.29569
502	0.11418	0.30009
502.5	0.1194	0.31841
503	0.1012	0.33033
503.5	0.10249	0.30135
504	0.1208	0.26924
504.5	0.12974	0.3067
505	0.16529	0.34319
505.5	0.19623	0.24047
506	0.18378	0.22184
506.5	0.12618	0.31265
507	0.064141	0.31673
507.5	0.045812	0.28235
508	0.053719	0.25156
508.5	0.074988	0.23969
509	0.11948	0.22774
509.5	0.14628	0.21336
510	0.11996	0.32077
510.5	0.071055	0.35836
511	0.035994	0.24493
511.5	0.052838	0.20292
512	0.10311	0.22591
512.5	0.12534	0.20848
513	0.13685	0.1815
513.5	0.11321	0.22719
514	0.076328	0.26811
514.5	0.077167	0.2547
515	0.1288	0.28119
515.5	0.19048	0.2645
516	0.19293	0.18022
516.5	0.12923	0.12232
517	0.11495	0.18173
517.5	0.15901	0.2604
518	0.1668	0.22934
518.5	0.12257	0.20605
519	0.077891	0.25602
519.5	0.077188	0.25312
520	0.091222	0.22453
520.5	0.12467	0.20638
521	0.17144	0.19069
521.5	0.16434	0.15937
522	0.11267	0.17291
522.5	0.094874	0.30005
523	0.10435	0.39423
523.5	0.14738	0.39116
524	0.15592	0.288
524.5	0.138	0.18026
525	0.13637	0.17535
525.5	0.14065	0.21668
526	0.14881	0.20883
526.5	0.15693	0.16026
527	0.16715	0.16287
527.5	0.16994	0.21556
528	0.15407	0.30108
528.5	0.11699	0.37897
529	0.086525	0.32637
529.5	0.095975	0.24226
530	0.09296	0.24356
530.5	0.071466	0.25648
531	0.093713	0.26283
531.5	0.12294	0.24728
532	0.12471	0.20496
532.5	0.13153	0.12876
533	0.12974	0.12981
533.5	0.13654	0.22463
534	0.1035	0.3603
534.5	0.072368	0.43297
535	0.068146	0.30613
535.5	0.065308	0.18101
536	0.068482	0.219
536.5	0.07572	0.31321
537	0.08299	0.31073
537.5	0.092283	0.30166
538	0.072852	0.29321
538.5	0.068614	0.27343
