eta1	eta2	eta3	eta4
-0.95571	-2.16813	0.723996	0.273864
-0.208758	-2.23242	0.636271	0.658268
0.476234	-2.15651	0.532239	0.989979
1.04868	-1.95764	0.432968	1.22053
1.48861	-1.64217	0.342046	1.30735
1.78781	-1.22417	0.245743	1.2281
1.92368	-0.718466	0.165915	0.968338
1.893	-0.186115	0.141605	0.559572
1.72375	0.316803	0.211665	0.0756279
1.4623	0.754805	0.388372	-0.388987
1.14897	1.10912	0.653126	-0.742208
0.800511	1.37399	0.962517	-0.914147
0.436297	1.5489	1.26198	-0.877142
0.0881582	1.63464	1.49971	-0.639873
-0.228122	1.64446	1.63254	-0.243671
-0.512202	1.5934	1.64617	0.225481
-0.789973	1.50441	1.5622	0.664515
-1.07454	1.37687	1.40063	1.02477
-1.35664	1.19967	1.15882	1.28243
-1.61209	0.932503	0.823637	1.3942
-1.82002	0.556871	0.431087	1.28307
-1.93084	0.128598	0.0840265	0.903711
-1.91891	-0.24958	-0.108474	0.329211
-1.83996	-0.532814	-0.125258	-0.266243
-1.76101	-0.754492	-0.0171652	-0.750542
-1.67605	-0.94505	0.153542	-1.03873
-1.55496	-1.11947	0.312108	-1.10621
-1.36057	-1.29518	0.399455	-0.998139
-1.05779	-1.4822	0.392207	-0.763945
-0.616725	-1.68143	0.293828	-0.42399
-0.119606	-1.83438	0.131782	0.0252333
0.277282	-1.87603	-0.03691	0.551961
0.580759	-1.79302	-0.208178	1.08231
0.894873	-1.58417	-0.446507	1.53108
1.25939	-1.25614	-0.837179	1.79887
1.64456	-0.822095	-1.36356	1.80736
1.95463	-0.309694	-1.89161	1.52138
2.12025	0.256259	-2.28631	0.970657
2.08915	0.85577	-2.46764	0.256202
1.80988	1.43704	-2.38705	-0.459681
1.28817	1.92575	-2.03426	-0.997241
0.608294	2.25143	-1.48347	-1.22152
-0.12915	2.3955	-0.850902	-1.13592
-0.807069	2.39529	-0.222624	-0.844425
-1.36555	2.33431	0.306952	-0.435361
-1.78679	2.19013	0.678974	0.0151396
-2.10872	1.94249	0.876562	0.41491
-2.40366	1.66826	0.929841	0.666164
-2.66872	1.41728	0.918003	0.729038
-2.89398	1.10557	0.873928	0.613437
-3.0383	0.699917	0.819968	0.367066
-3.04331	0.190447	0.769657	0.0720086
-2.8961	-0.346624	0.731307	-0.202231
-2.59215	-0.875799	0.718503	-0.408814
-2.11244	-1.37773	0.750158	-0.508886
-1.49726	-1.76763	0.823562	-0.447431
-0.874306	-1.95597	0.902001	-0.212425
-0.325151	-1.94841	0.943415	0.121179
0.152116	-1.80664	0.91667	0.454739
0.542662	-1.58904	0.821333	0.705205
0.843	-1.35019	0.678969	0.818107
1.08397	-1.09518	0.512532	0.769767
1.29698	-0.820394	0.332718	0.572223
1.50197	-0.530021	0.163867	0.226869
1.69055	-0.237428	0.0404751	-0.235668
1.86894	0.0569286	-0.00527343	-0.688536
1.98604	0.372723	0.0299048	-0.986138
1.97389	0.724928	0.117607	-1.04581
1.7829	1.08974	0.242944	-0.940194
1.44848	1.39569	0.388462	-0.766436
1.05226	1.59908	0.509505	-0.53005
0.638216	1.70522	0.559548	-0.210691
0.208747	1.72982	0.516522	0.152189
-0.229089	1.66465	0.372368	0.483117
-0.64023	1.49453	0.141931	0.681804
-0.975265	1.21573	-0.11626	0.65274
-1.21621	0.846837	-0.324258	0.360177
-1.36864	0.430174	-0.416342	-0.135851
-1.42128	0.00832864	-0.35118	-0.68539
-1.36225	-0.375939	-0.142535	-1.12952
-1.21691	-0.694101	0.145578	-1.365
-1.00557	-0.9417	0.448998	-1.37348
-0.736574	-1.11988	0.725073	-1.17756
-0.41421	-1.23717	0.92151	-0.81488
-0.0567411	-1.30013	1.00236	-0.358093
0.293769	-1.30766	0.979444	0.0900172
0.613073	-1.23731	0.873418	0.432877
0.898575	-1.05288	0.697168	0.617484
1.14046	-0.765963	0.502782	0.639157
1.33296	-0.422216	0.317038	0.52332
1.39523	-0.0597706	0.157732	0.282382
1.29346	0.280305	0.0914151	-0.0175019
1.08118	0.579258	0.125864	-0.269582
0.801814	0.839877	0.221738	-0.377237
0.498011	1.04068	0.326208	-0.267425
0.202157	1.17513	0.402764	-0.0143292
-0.0771087	1.25809	0.441517	0.23496
-0.337132	1.30465	0.449906	0.398302
-0.586876	1.33172	0.440536	0.459719
-0.842965	1.34274	0.443378	0.422106
-1.12475	1.30966	0.471996	0.314557
