eta1	eta2	eta1exp	eta2exp	eta9	eta10	eta15	eta16	eta9exp	eta10exp
162.912	153.609	-142.9430027	116.6461611	11.7034	34.1434	-6.32313	36.3046		
190.79	117.941	-111.2084965	147.8846444	-7.24791	31.9889	-28.6019	31.0594		
208.38	79.1571	-74.03261698	166.192223	-20.2419	27.5012	-39.9952	10.1917		
216.295	39.2187	-40.93817594	175.7216211	-27.7907	22.1163	-33.4399	-16.2406		
216.996	-1.60986	1.672171699	174.5174327	-33.059	16.6604	-10.235	-35.8656		
211.387	-43.3306	44.84548275	168.765423						
197.869	-83.9038	85.31504657	151.9050969						
174.579	-120.816	119.5885705	122.2138047						
143.223	-153.03	143.4491621	97.1976799						
105.73	-180.206	161.8877706	60.26568641						
63.3313	-201.417	173.3254965	24.88407161						
17.2232	-215.755	175.8163214	-5.470525221						
-31.6002	-221.39	172.8400426	-44.36816288						
-80.5497	-215.278	167.4424436	-73.25464366						
-126.18	-198.128	157.0884525	-97.02196317						
-167.799	-169.458	137.6467014	-125.6280717						
-202.386	-128.57	110.9507105	-146.2047348						
-224.98	-80.8466	80.074162	-161.6832789						
-234.206	-31.525	44.788463	-169.6834896						
-231.621	17.7686	6.085925675	-173.3093118						
-218.97	65.3475	-30.92609786	-172.5056622						
-197.491	109.582	-72.45786901	-159.0810725						
-168.025	148.983	-109.1618585	-139.4569242						
-131.746	182.09	-143.3812913	-113.7427288						
-90.0558	207.011	-168.4675763	-82.77008968						
-44.8673	222.989	-190.142839	-47.22585621						
1.9469	230.907	-198.0888785	-3.069566306						
49.6854	230.36	-198.3398209	38.17892195						
97.022	220.914	-186.6978761	78.41569094						
141.126	203.484	-161.4024605	118.529771						
181.333	177.841	-130.8073114	151.263778						
218.336	140.275	-96.0845142	178.860203						
246.653	93.6572	-52.48401231	199.7890145						
262.895	41.918	-8.171416054	213.6483034						
265.945	-12.406	40.01075471	218.7891922						
255.844	-68.2795	92.57431105	213.4044648						
232.724	-124.051	140.8926243	194.0641842						
197.342	-176.493	186.3945483	161.4948812						
150.633	-221.657	221.994642	122.7026736						
94.0777	-255.46	249.2243311	75.89165584						
30.657	-274.866	262.6132854	20.90250615						
-35.6451	-278.535	261.8085661	-31.6307601						
-101.354	-266.37	251.1211806	-85.80690584						
-163.628	-237.701	224.2745894	-137.3035873						
-218.762	-192.144	189.9748008	-186.4378594						
-261.412	-133.958	141.376876	-226.9202445						
-288.208	-66.8845	81.8321048	-253.7414702						
-297.956	5.06221	21.96888	-260.9702254						
-289.734	76.8223	-40.33871331	-259.4682271						
-263.668	142.409	-100.6013641	-241.9706734						
-222.969	197.374	-151.8190324	-204.638856						
-171.104	240.91	-199.7743881	-160.8173961						
-109.931	272.835	-232.519641	-106.7821713						
-40.7046	290.425	-250.625492	-49.76091396						
30.5045	289.582	-252.1899335	8.663783399						
97.5593	270.13	-241.2638851	65.25078856						
154.713	235.967	-216.2517083	116.6232916						
198.479	193.151	-178.7720796	157.0997285						
230.217	143.907	-133.2004146	187.4999551						
250.393	90.7528	-80.27069466	212.8974334						
258.217	35.9895	-23.14118096	219.8314173						
253.495	-15.583	28.88618012	218.9878777						
239.591	-62.6231	84.06915118	198.8633811						
220.079	-105.875	127.7682071	167.4980183						
193.758	-144.55	170.218696	127.021641						
158.909	-177.354	190.9274283	81.14036785						
116.453	-203.309	206.6779085	30.110788						
68.6494	-220.849	208.4144265	-25.73176211						
18.1419	-229.209	190.8954914	-79.93049929						
-32.1937	-229.007	165.8049112	-124.1909482						
-80.5678	-220.579	134.4574899	-150.359316						
-126.589	-203.645	98.51765139	-177.7289924						
-168.942	-177.601	53.3968318	-192.4274217						
-205.167	-143.18	2.854306489	-197.2387535						
-233.431	-101.174	-43.4823624	-193.2161461						
-251.271	-52.5837	-92.33164059	-178.1600868						
-256.378	-0.405746	-138.9427215	-156.8855418						
-248.755	50.9891	-176.0591254	-119.5155027						
-230.174	98.4564	-204.2075734	-76.87372321						
-201.719	139.469	-217.2772725	-27.62412063						
-165.569	172.253	-219.5021011	20.72800091						
-124.795	196.344	-211.6774071	65.88705295						
-79.9141	212.619	-187.8857345	110.472332						
-29.8977	218.024	-165.2652325	149.8487891						
18.9956	209.778	-131.5298664	185.6626104						
63.2602	193.655	-96.50656721	211.9840142						
102.995	168.701	-48.75423842	232.9657641						
134.095	134.389	2.615797678	243.7986636						
156.226	95.2087	58.74005186	243.7405118						
170.543	53.7992	106.6952329	226.1102495						
176.673	11.3252	154.8014869	200.2197117						
173.012	-30.0789	198.3959467	164.7766184						
159.974	-67.4132	226.3304139	124.1403731						
139.61	-99.7884	252.3675692	81.74317704						
112.3	-127.132	263.939701	36.15147157						
78.7236	-146.701	265.945	-5.400288179						
41.9067	-157.163	261.7974008	-50.96389089						
4.59397	-158.174	245.6314641	-96.37851917						
-31.0979	-149.505	221.7119669	-144.1141078						
-61.7161	-133.034	184.6905539	-183.370438						
-86.6104	-112.334	143.5776738	-220.3710003						
-107.746	-89.4396	92.68742694	-243.0111409						
-126.34	-64.2264	43.64810413	-258.6506254						
-140.489	-36.1883	-9.573283782	-260.0134306						
-148.525	-7.02446	-62.39927379	-254.7297341						
-150.903	23.2453	-114.7616539	-237.2742154						
-146.951	53.9689	-159.2041006	-213.7982113						
-135.736	82.5429	-198.543876	-184.8354757						
-118.327	106.979	-230.2244548	-147.7300693						
-95.9093	125.862	-257.5624372	-98.3697438						
-69.8917	140.264	-269.9276867	-43.00908157						
-39.3054	151.619	-271.2404569	16.39574676						
-2.25254	156.561	-258.3409968	70.27955427						
37.8134	150.043	-234.5273696	124.0367901						
