t	eta0	eta1	eta2	eta3	eta4	eta5	eta6	eta7
2.505	1.37457	1.6466	-0.343765	-0.128025	0.175873	-0.12276	-0.0206729	-0.0587951
2.52	1.14019	1.81576	-0.297595	-0.21476	0.113808	-0.182052	0.0123239	-0.0611314
2.535	0.885042	1.95216	-0.22996	-0.286116	0.0334017	-0.212227	0.0418724	-0.0462406
2.55	0.613779	2.05332	-0.145733	-0.336925	-0.0524562	-0.208393	0.0596302	-0.0183201
2.565	0.331326	2.11743	-0.0509678	-0.363508	-0.129992	-0.171141	0.0605926	0.0147766
2.58	0.0428184	2.1433	0.0474989	-0.363945	-0.186736	-0.1064	0.0444507	0.0437119
2.595	-0.246499	2.13048	0.142562	-0.338198	-0.213551	-0.0245462	0.0157507	0.0603257
2.61	-0.531346	2.0792	0.227372	-0.288139	-0.206099	0.0612932	-0.017432	0.0599012
2.625	-0.806561	1.99041	0.295832	-0.217398	-0.165557	0.137326	-0.0457466	0.0425506
2.64	-1.06719	1.86574	0.343028	-0.131069	-0.0983832	0.191338	-0.0611589	0.013137
2.655	-1.30854	1.70744	0.365574	-0.03537	-0.0153654	0.214636	-0.059303	-0.0200547
2.67	-1.52627	1.51839	0.361876	0.0628078	0.0701716	0.203456	-0.0406342	-0.0476205
2.685	-1.71645	1.30202	0.332234	0.156412	0.144468	0.159575	-0.0104223	-0.0617273
2.7	-1.87567	1.06221	0.278805	0.238727	0.195573	0.0900505	0.0227732	-0.0583522
2.715	-2.00108	0.803315	0.205451	0.303893	0.215292	0.00607642	0.0495452	-0.0384484
2.73	-2.09044	0.530003	0.117428	0.347261	0.20045	-0.0788291	0.0623001	-0.00763193
2.745	-2.14215	0.247216	0.0210378	0.365747	0.153465	-0.151013	0.0574258	0.0253222
2.76	-2.15524	-0.0399413	-0.0768107	0.358029	0.0819276	-0.198875	0.0363517	0.0511076
2.775	-2.12946	-0.326291	-0.169138	0.324665	-0.00262112	-0.214782	0.00505965	0.0624333
2.79	-2.06526	-0.606671	-0.249308	0.268036	-0.0865795	-0.196205	-0.0275689	0.0561169
2.805	-1.96378	-0.876026	-0.311582	0.192171	-0.156454	-0.146183	-0.0523143	0.0339971
2.82	-1.82682	-1.12948	-0.351467	0.102473	-0.201046	-0.0727816	-0.06221	0.00234596
2.835	-1.65682	-1.36242	-0.36605	0.00536851	-0.213224	0.0121941	-0.0545062	-0.0298698
2.85	-1.45683	-1.57062	-0.354239	-0.0921639	-0.191081	0.0950753	-0.031424	-0.0535764
2.865	-1.23046	-1.75028	-0.316827	-0.183089	-0.138204	0.162567	0.000509182	-0.0621017
2.88	-0.981818	-1.89812	-0.256466	-0.26082	-0.063109	0.203836	0.032291	-0.0530539
2.895	-0.715419	-2.01148	-0.177491	-0.319711	0.0221265	0.212258	0.0549227	-0.0290011
2.91	-0.436106	-2.08831	-0.0855968	-0.355467	0.10379	0.18649	0.0620205	0.00327896
2.925	-0.148963	-2.12719	0.0125515	-0.365471	0.168723	0.130673	0.0515617	0.0346376
2.94	0.140792	-2.12743	0.10983	-0.348975	0.206472	0.0537907	0.0264812	0.0562094
2.955	0.427868	-2.08902	0.19917	-0.307186	0.210935	-0.0317645	-0.00613424	0.0618666
2.97	0.707037	-2.01267	0.274064	-0.243145	0.181377	-0.11219	-0.0370592	0.049981
2.985	0.973257	-1.89979	0.329099	-0.161512	0.122537	-0.174517	-0.0575129	0.0238919
3	1.22174	-1.75242	0.360268	-0.0682137	0.0438867	-0.208693	-0.0616798	-0.00904084
3.015	1.44799	-1.57326	0.365339	0.029975	-0.0419002	-0.209172	-0.0483095	-0.0394551
3.03	1.64795	-1.36554	0.343976	0.125921	-0.120956	-0.17587	-0.0211928	-0.0587017
3.045	1.81799	-1.13303	0.29776	0.212677	-0.180531	-0.114145	0.0119879	-0.0612639
3.06	1.95508	-0.879916	0.230077	0.284	-0.210998	-0.0339669	0.0418004	-0.0463986
3.075	2.05676	-0.6108	0.145841	0.334763	-0.207414	0.0516914	0.0597121	-0.0183378
3.09	2.12122	-0.330539	0.0511357	0.361332	-0.170367	0.129003	0.0606733	0.0149192
3.105	2.14728	-0.0441989	-0.0472132	0.36181	-0.10583	0.18548	0.0444158	0.0439361
3.12	2.13444	0.243046	-0.142135	0.336187	-0.0242272	0.212035	0.0155855	0.0604605
3.135	2.08293	0.526021	-0.226798	0.286318	0.0612827	0.204376	-0.0176075	0.0598326
3.15	1.99366	0.79962	-0.295142	0.215784	0.136931	0.163756	-0.0457705	0.0422534
3.165	1.86824	1.0589	-0.342252	0.129642	0.190551	0.0966999	-0.0609192	0.0127427
3.18	1.70888	1.29917	-0.364751	0.0340707	0.213527	0.013991	-0.058835	-0.020335
3.195	1.51847	1.51604	-0.361002	-0.0640538	0.202168	-0.0710805	-0.0401207	-0.0476521
3.21	1.30043	1.70558	-0.331251	-0.157676	0.158304	-0.144862	-0.0100787	-0.0615227
3.225	1.05872	1.86434	-0.277626	-0.240024	0.0889526	-0.195487	0.0228288	-0.0580476
3.24	0.797735	1.98944	-0.203972	-0.305167	0.00524141	-0.214821	0.0493138	-0.0382187
3.255	0.522212	2.07864	-0.115591	-0.348383	-0.0794053	-0.199721	0.0619148	-0.00760734
3.27	0.237168	2.13032	-0.0188498	-0.366542	-0.151393	-0.152575	0.0570694	0.0251462
3.285	-0.0522241	2.14352	0.0792815	-0.358327	-0.199152	-0.0809053	0.0361003	0.0508209
3.3	-0.34069	2.11803	0.171721	-0.324341	-0.214978	0.00379097	0.00492155	0.0621636
3.315	-0.62297	2.0543	0.251797	-0.267045	-0.196293	0.0879179	-0.0276833	0.0559391
3.33	-0.893963	1.95352	0.313776	-0.190588	-0.146077	0.157962	-0.0525183	0.0338959
3.345	-1.14879	1.81751	0.353194	-0.100472	-0.0723533	0.202672	-0.0625342	0.00222027
3.36	-1.38288	1.64876	0.36724	-0.00318662	0.0130409	0.21483	-0.0548653	-0.03014
3.375	-1.592	1.45033	0.354933	0.0942582	0.0963762	0.192477	-0.0316414	-0.0540192
3.39	-1.77239	1.22579	0.317183	0.184873	0.164265	0.139184	0.000591701	-0.0626099
3.405	-1.92081	0.979188	0.256735	0.262167	0.205779	0.0635252	0.0326956	-0.0534607
3.42	-2.03461	0.715005	0.177948	0.320637	0.214253	-0.0223044	0.0555375	-0.0291697
3.435	-2.11177	0.437996	0.0864618	0.356117	0.188349	-0.1045	0.0626832	0.0033952
3.45	-2.15087	0.153175	-0.0111818	0.36608	0.132254	-0.169846	0.0520924	0.0349905
3.465	-2.15119	-0.13432	-0.10798	0.349817	0.0550272	-0.20786	0.0268231	0.0566683
3.48	-2.1127	-0.419306	-0.197017	0.308491	-0.030874	-0.212471	-0.00595654	0.0623254
3.495	-2.03609	-0.696644	-0.271904	0.245048	-0.111642	-0.182991	-0.0369604	0.050378
3.51	-1.92271	-0.96133	-0.327263	0.164004	-0.174306	-0.124192	-0.0574253	0.0242643
3.525	-1.77458	-1.20857	-0.359102	0.0711393	-0.208828	-0.0455585	-0.0616211	-0.00862014
3.54	-1.59434	-1.43385	-0.365069	-0.0268839	-0.209695	0.0402732	-0.0483889	-0.0389814
3.555	-1.38523	-1.63308	-0.344689	-0.123016	-0.176817	0.119508	-0.0215126	-0.0582656
3.57	-1.15105	-1.80263	-0.299382	-0.2103	-0.115498	0.179421	0.0114164	-0.0610503
3.585	-0.896026	-1.93942	-0.23237	-0.282422	-0.0356147	0.210415	0.0411086	-0.0465627
