f	eta0	eta1	eta2	eta3	eta4	eta5	eta6	eta7	sumEta
3.79709	1.33426	2.39953	2.52969	0.861149	5.21223	0.576663	0.0944421	0.366848	13.3748
3.81687	1.24256	2.28055	2.53017	0.979795	5.43131	0.256903	0.0645304	0.346797	13.1326
3.83665	0.95862	2.25309	2.64548	1.00194	5.42111	0.044053	0.0343073	0.351155	12.7098
3.85642	0.659195	2.31969	2.75452	0.908774	5.32125	0.102006	0.0241362	0.379688	12.4693
3.8762	0.529397	2.4212	2.7458	0.758055	5.35531	0.43446	0.0413406	0.41577	12.7013
3.89598	0.640076	2.47634	2.58982	0.643197	5.68674	0.851522	0.075118	0.437202	13.4
3.91575	0.901914	2.43649	2.356	0.630376	6.30606	1.09778	0.103046	0.431827	14.2635
3.93553	1.12648	2.31725	2.1636	0.717408	7.02816	1.01859	0.106471	0.404234	14.8822
3.95531	1.15262	2.1871	2.10274	0.836183	7.60746	0.670119	0.0824251	0.37563	15.0143
3.97508	0.95327	2.12058	2.17575	0.901169	7.90359	0.298594	0.046496	0.367645	14.7671
3.99486	0.651434	2.14859	2.29847	0.865431	7.9902	0.189819	0.0225811	0.388645	14.5552
4.01463	0.436221	2.23861	2.35762	0.749988	8.13255	0.483887	0.0271289	0.427562	14.8536
4.03441	0.436459	2.31788	2.28566	0.627503	8.63748	1.07088	0.0578155	0.46094	15.8946
4.05419	0.636515	2.3227	2.10364	0.572795	9.66879	1.64438	0.0947418	0.468503	17.5121
4.07396	0.889018	2.24041	1.90504	0.61373	11.1443	1.88332	0.113287	0.446975	19.2361
4.09374	1.01431	2.11648	1.79226	0.714586	12.7903	1.65699	0.100557	0.412804	20.5983
4.11352	0.919035	2.02289	1.80937	0.8017	14.3257	1.12379	0.0642399	0.391477	21.4582
4.13329	0.656159	2.01012	1.91444	0.813064	15.6821	0.667802	0.0281818	0.400449	22.1724
4.15307	0.38779	2.07447	2.00922	0.738657	17.1403	0.707952	0.0166582	0.436968	23.512
4.17285	0.276905	2.16172	2.00449	0.625015	19.3469	1.49899	0.0382488	0.479239	26.4315
4.19262	0.379392	2.20347	1.87759	0.542502	23.2791	3.04458	0.0793874	0.500535	31.9066
4.2124	0.6063	2.16197	1.68362	0.538177	30.4254	5.21211	0.113204	0.486763	41.2275
4.23218	0.778266	2.05332	1.51216	0.604307	43.9913	8.15234	0.116899	0.445164	57.6537
4.25195	0.721934	1.93244	1.40679	0.681797	75.8741	13.7733	0.0876595	0.394543	94.8726
4.27173	0.109776	1.81288	1.08795	0.652939	248.273	44.1409	0.046808	0.287894	296.412
4.29151	0.953533	2.01518	2.20985	0.813896	196.122	36.5859	0.0107015	0.581938	239.293
4.31128	0.450602	2.04275	1.97738	0.669343	70.5785	14.5017	0.0192413	0.557253	90.7968
4.33106	0.392892	2.09632	1.86187	0.567121	44.0645	9.60306	0.0578472	0.581215	59.2248
4.35084	0.553883	2.09079	1.69353	0.526977	32.934	6.8238	0.10322	0.581151	45.3073
4.37061	0.770385	2.01416	1.52677	0.562222	26.5826	4.54428	0.125592	0.549628	36.6757
4.39039	0.870137	1.90664	1.43821	0.640561	21.9634	2.669	0.109359	0.507075	30.1044
4.41017	0.767988	1.83036	1.45873	0.703877	18.0917	1.4217	0.0647986	0.484424	24.8236
