f	spct
15.4122	0.0780755
15.4285	0.0760631
15.4448	0.0725924
15.4611	0.0693365
15.4774	0.0678588
15.4936	0.0689227
15.5099	0.0720461
15.5262	0.0758321
15.5425	0.078454
15.5588	0.0786689
15.5751	0.0763766
15.5914	0.0727234
15.6077	0.0696155
15.624	0.069037
15.6403	0.0721597
15.6566	0.0794979
15.6729	0.0933419
15.6891	0.165198
15.7054	0.035015
15.7217	0.0570071
15.738	0.0587426
15.7543	0.0568536
15.7706	0.0554405
15.7869	0.0563697
15.8032	0.0597405
15.8195	0.0643628
15.8358	0.0684088
15.8521	0.0702702
15.8684	0.0694073
15.8847	0.06643
15.9009	0.0629101
15.9172	0.0605839
15.9335	0.0605368
15.9498	0.0627847
15.9661	0.0661843
15.9824	0.0691151
15.9987	0.0701631
16.015	0.0688098
16.0313	0.0657028
16.0476	0.0622959
16.0639	0.0597054
16.0802	0.0605506
16.0964	0.0626051
16.1127	0.0657552
16.129	0.0683043
16.1453	0.0693849
16.1616	0.0677553
16.1779	0.0646389
16.1942	0.0613499
16.2105	0.0593726
16.2268	0.0595773
16.2431	0.0617405
16.2594	0.0648558
16.2757	0.0673312
16.292	0.0679593
16.3082	0.0663236
16.3245	0.063224
16.3408	0.0599967
16.3571	0.058116
16.3734	0.0583978
16.3897	0.0606091
16.406	0.0636766
16.4223	0.066044
16.4386	0.0665725
16.4549	0.0649055
16.4712	0.0617983
16.4875	0.0586236
16.5037	0.0568327
16.52	0.0571084
16.5363	0.0593416
16.5526	0.0623353
16.5689	0.0646204
16.5852	0.064999
16.6015	0.0633625
16.6178	0.0603318
16.6341	0.057258
16.6504	0.0555278
16.6667	0.055849
16.683	0.0582132
16.6993	0.0610139
16.7155	0.0631449
16.7318	0.0634686
16.7481	0.0614549
16.7644	0.0586889
16.7807	0.0557662
16.797	0.054186
16.8133	0.0546261
16.8296	0.0568135
16.8459	0.05958
16.8622	0.0615808
16.8785	0.0617582
16.8948	0.0599914
16.911	0.0570531
16.9273	0.0542668
16.9436	0.052834
16.9599	0.0533816
16.9762	0.0554738
16.9925	0.0579892
17.0088	0.0595799
17.0251	0.059379
17.0414	0.0572926
17.0577	0.0544038
17.074	0.0519179
17.0903	0.0512356
17.1065	0.0533151
17.1228	0.0387633
17.1391	0.0552183
17.1554	0.0575018
17.1717	0.0572051
17.188	0.0547976
17.2043	0.051178
17.2206	0.0482293
17.2369	0.0471265
17.2532	0.0484066
17.2695	0.0515023
17.2858	0.054998
17.3021	0.0572749
17.3183	0.0573135
17.3346	0.0550406
17.3509	0.05147
17.3672	0.0481848
17.3835	0.0466274
17.3998	0.0473753
17.4161	0.0500042
17.4324	0.0532079
17.4487	0.0553638
17.465	0.0554258
17.4813	0.0533186
17.4976	0.0496228
17.5138	0.0466758
17.5301	0.0451581
17.5464	0.045885
17.5627	0.0484457
17.579	0.0514383
17.5953	0.053501
17.6116	0.0535059
17.6279	0.0513832
17.6442	0.048007
17.6605	0.0449288
17.6768	0.0434648
17.6931	0.0442127
17.7094	0.0467195
17.7256	0.0497106
17.7419	0.0517089
17.7582	0.0516402
17.7745	0.0494832
17.7908	0.0460646
17.8071	0.0433351
17.8234	0.0417937
17.8397	0.0425486
17.856	0.0450231
17.8723	0.0479116
17.8886	0.0498471
17.9049	0.0497572
17.9211	0.0475769
17.9374	0.0443203
17.9537	0.0413286
17.97	0.0399829
17.9863	0.0407896
18.0026	0.0432806
18.0189	0.0461364
18.0352	0.0479685
18.0515	0.0477697
18.0678	0.0455373
18.0841	0.042231
18.1004	0.0393401
18.1167	0.0379469
18.1329	0.0387777
18.1492	0.0411994
18.1655	0.0436486
18.1818	0.0465919
18.1981	0.0459672
18.2144	0.0435984
18.2307	0.040232
18.247	0.0372908
18.2633	0.0360084
18.2796	0.0368499
18.2959	0.0393237
18.3122	0.042097
18.3284	0.0437399
18.3447	0.0433266
18.361	0.0409133
18.3773	0.0374633
18.3936	0.0344813
18.4099	0.033221
18.4262	0.0341138
18.4425	0.0365505
18.4588	0.0391483
18.4751	0.0403176
18.4914	0.0389078
18.5077	0.0345238
18.5239	0.026366
18.5402	0.00156006
18.5565	0.0648267
18.5728	0.0456619
18.5891	0.044224
18.6054	0.0456068
18.6217	0.0465793
18.638	0.0457919
18.6543	0.0429554
18.6706	0.038974
18.6869	0.0353339
18.7032	0.03342
18.7195	0.0337807
18.7357	0.0360136
18.752	0.0388329
18.7683	0.0407329
18.7846	0.0407006
18.8009	0.0385975
18.8172	0.0353463
18.8335	0.032325
18.8498	0.030859
18.8661	0.0315156
18.8824	0.0338434
18.8987	0.0366302
18.915	0.0386201
18.9312	0.0381562
18.9475	0.0361904
18.9638	0.0330515
18.9801	0.0302052
18.9964	0.0287545
19.0127	0.0295454
19.029	0.0318873
19.0453	0.0346196
19.0616	0.0363589
19.0779	0.0362287
19.0942	0.0341629
19.1105	0.0310439
19.1268	0.0282618
19.143	0.0270156
19.1593	0.027821
19.1756	0.0301449
19.1919	0.0328331
19.2082	0.0345125
19.2245	0.034264
19.2408	0.0322226
19.2571	0.0291234
19.2734	0.0264162
19.2897	0.0252355
19.306	0.0260679
19.3223	0.0284047
19.3385	0.0310719
19.3548	0.0326943
19.3711	0.032486
19.3874	0.0303626
19.4037	0.0273
19.42	0.0246296
19.4363	0.0235281
19.4526	0.0243604
19.4689	0.026658
19.4852	0.0292991
19.5015	0.0309165
19.5178	0.030658
19.5341	0.0285785
19.5503	0.0255851
19.5666	0.0229755
19.5829	0.0218992
19.5992	0.023035
19.6155	0.0250188
19.6318	0.027592
19.6481	0.0291396
19.6644	0.028851
19.6807	0.0267759
19.697	0.0238173
19.7133	0.0212559
19.7296	0.0202393
19.7458	0.021131
19.7621	0.0234282
19.7784	0.0259631
19.7947	0.0274997
19.811	0.0271783
19.8273	0.0251495
19.8436	0.0222467
19.8599	0.0197778
19.8762	0.0187978
19.8925	0.0197224
19.9088	0.0219604
19.9251	0.0244527
19.9413	0.0259245
19.9576	0.0256842
19.9739	0.027273
19.9902	0.0207133
20.0065	0.0185231
20.0228	0.0177644
20.0391	0.0187715
20.0554	0.0210705
20.0717	0.0233523
20.088	0.0245096
20.1043	0.0238425
20.1206	0.0215212
20.1369	0.0185095
20.1531	0.0161419
20.1694	0.0153823
20.1857	0.0165429
20.202	0.019
20.2183	0.021513
20.2346	0.0228449
20.2509	0.0223204
20.2672	0.0200737
20.2835	0.0170727
20.2998	0.0146758
20.3161	0.0139066
20.3324	0.015036
20.3486	0.0176574
20.3649	0.0199771
20.3812	0.0213187
20.3975	0.0207798
20.4138	0.0185198
20.4301	0.0156253
20.4464	0.0132412
20.4627	0.0124944
20.479	0.0136403
20.4953	0.0161053
20.5116	0.0185729
20.5279	0.0198999
20.5442	0.0193409
20.5604	0.0171011
20.5767	0.0141708
20.593	0.0117987
20.6093	0.0111176
20.6256	0.0122977
20.6419	0.0147913
20.6582	0.0170012
20.6745	0.0184562
20.6908	0.0178956
20.7071	0.0156759
20.7234	0.0127981
20.7397	0.0104374
20.7559	0.0097417
20.7722	0.0109325
20.7885	0.0133443
20.8048	0.0158539
20.8211	0.0171423
20.8374	0.0165776
20.8537	0.0143501
20.87	0.0114027
20.8863	0.00910044
20.9026	0.00839613
20.9189	0.00954763
20.9352	0.0119277
20.9514	0.0143343
20.9677	0.0156668
20.984	0.0150794
21.0003	0.0128174
21.0166	0.00958168
21.0329	0.00920635
21.0492	0.00769965
21.0655	0.00876428
21.0818	0.011084
21.0981	0.0134341
21.1144	0.0146097
21.1307	0.0140186
21.147	0.0118185
21.1632	0.00902082
21.1795	0.00687397
21.1958	0.00634266
21.2121	0.00762438
21.2284	0.0100943
21.2447	0.0125159
21.261	0.0137093
21.2773	0.0130707
21.2936	0.0108384
21.3099	0.00801601
21.3262	0.00590783
21.3425	0.00556169
21.3587	0.0072626
21.375	0.0108051
21.3913	0.0180879
21.4076	0.000700265
