f	spct
602.5	0.15839
603	0.16334
603.5	0.21009
604	0.25237
604.5	0.23211
605	0.17289
605.5	0.16646
606	0.21122
606.5	0.23279
607	0.15167
607.5	0.099684
608	0.080197
608.5	0.059111
609	0.10474
609.5	0.21375
610	0.27634
610.5	0.21124
611	0.15496
611.5	0.20044
612	0.23147
612.5	0.20737
613	0.20017
613.5	0.18018
614	0.15901
614.5	0.20683
615	0.22033
615.5	0.16448
616	0.13844
616.5	0.14276
617	0.19973
617.5	0.24882
618	0.25378
618.5	0.22076
619	0.1471
619.5	0.12675
620	0.18138
620.5	0.21432
621	0.2144
621.5	0.20142
622	0.14544
622.5	0.10167
623	0.14137
623.5	0.22146
624	0.27318
624.5	0.24056
625	0.19428
625.5	0.17412
626	0.1742
626.5	0.16492
627	0.15843
627.5	0.14734
628	0.11743
628.5	0.087731
629	0.081589
629.5	0.07159
630	0.074298
630.5	0.11475
631	0.1554
631.5	0.13697
632	0.12665
632.5	0.16559
633	0.22605
633.5	0.26061
634	0.235
634.5	0.21541
635	0.21216
635.5	0.19504
636	0.20734
636.5	0.22467
637	0.18929
637.5	0.16272
638	0.16081
638.5	0.20426
639	0.2312
639.5	0.1638
640	0.13256
640.5	0.20406
641	0.22525
641.5	0.17487
642	0.1324
642.5	0.11252
643	0.11393
643.5	0.15804
644	0.16824
644.5	0.13389
645	0.15013
645.5	0.14918
646	0.12986
646.5	0.13877
647	0.1186
647.5	0.087928
648	0.098004
648.5	0.15574
649	0.15492
649.5	0.1246
650	0.13756
650.5	0.13384
651	0.10769
651.5	0.12267
652	0.14767
652.5	0.13929
653	0.15752
653.5	0.18792
654	0.16484
654.5	0.13111
655	0.1547
655.5	0.15123
656	0.10706
656.5	0.12622
657	0.18258
657.5	0.19658
658	0.15547
658.5	0.11835
659	0.083356
659.5	0.052681
660	0.071035
660.5	0.10377
661	0.11901
661.5	0.14767
662	0.17775
662.5	0.19466
663	0.17367
663.5	0.13426
664	0.11863
664.5	0.133
665	0.14273
665.5	0.10689
666	0.095785
666.5	0.1243
667	0.10983
667.5	0.089334
668	0.096155
668.5	0.090938
669	0.13121
669.5	0.19673
670	0.21223
670.5	0.17521
671	0.15035
671.5	0.1327
672	0.098266
672.5	0.088383
673	0.10923
673.5	0.1077
674	0.14402
674.5	0.18852
675	0.15204
675.5	0.13013
676	0.16148
676.5	0.16468
677	0.15694
677.5	0.1501
678	0.12763
678.5	0.11375
679	0.13867
679.5	0.1624
680	0.1749
680.5	0.16708
681	0.14237
681.5	0.15463
682	0.16707
682.5	0.12833
683	0.10725
683.5	0.15931
684	0.22026
684.5	0.21325
685	0.17272
685.5	0.16709
686	0.19891
686.5	0.17663
687	0.14668
687.5	0.13125
688	0.16874
688.5	0.22768
689	0.15639
689.5	0.10887
690	0.1623
690.5	0.20384
691	0.19473
691.5	0.14807
692	0.13647
692.5	0.14174
693	0.09889
693.5	0.056949
694	0.042658
694.5	0.060624
695	0.089431
695.5	0.10951
696	0.11405
696.5	0.11665
697	0.13972
697.5	0.13401
698	0.13686
698.5	0.11984
699	0.086054
699.5	0.078141
700	0.091103
700.5	0.10933
701	0.13114
701.5	0.1713
702	0.14797
702.5	0.1313
703	0.16075
703.5	0.15804
704	0.12762
704.5	0.11042
705	0.092065
705.5	0.086127
706	0.093096
706.5	0.096392
707	0.065832
707.5	0.046265
708	0.060286
708.5	0.09788
709	0.11669
709.5	0.13055
710	0.16349
710.5	0.17504
711	0.12562
711.5	0.08703
712	0.085144
712.5	0.093745
713	0.089453
713.5	0.079122
714	0.091222
714.5	0.14945
715	0.15902
715.5	0.11718
716	0.088305
716.5	0.089679
717	0.11486
717.5	0.13712
718	0.13102
718.5	0.10986
719	0.080418
719.5	0.082819
720	0.12557
720.5	0.13291
721	0.10393
721.5	0.10672
722	0.14211
722.5	0.16315
723	0.17501
723.5	0.15691
724	0.12352
724.5	0.10426
725	0.11777
725.5	0.14188
726	0.17991
726.5	0.17245
727	0.11932
727.5	0.080128
728	0.10952
728.5	0.18517
729	0.19049
729.5	0.12361
730	0.089903
730.5	0.12003
731	0.12722
731.5	0.10643
732	0.10218
732.5	0.12842
733	0.14336
733.5	0.14255
734	0.14252
734.5	0.17195
735	0.17317
735.5	0.11911
736	0.10792
736.5	0.11048
737	0.089411
737.5	0.07602
738	0.079612
738.5	0.12094
739	0.15871
739.5	0.12164
740	0.080106
740.5	0.094202
741	0.12052
741.5	0.10372
742	0.072768
742.5	0.047534
743	0.040441
743.5	0.073968
744	0.12983
744.5	0.1494
745	0.14236
745.5	0.15301
746	0.15598
746.5	0.13776
747	0.13371
747.5	0.1465
748	0.16003
748.5	0.13806
749	0.13382
749.5	0.16375
750	0.14986
750.5	0.10449
751	0.096045
751.5	0.12351
752	0.12497
752.5	0.11363
753	0.12193
753.5	0.12444
754	0.13412
754.5	0.14031
755	0.12023
755.5	0.10349
756	0.11747
756.5	0.11747
757	0.10911
757.5	0.10789
758	0.10507
758.5	0.08284
759	0.098373
759.5	0.17296
760	0.20285
760.5	0.13941
761	0.11343
761.5	0.15207
762	0.15921
762.5	0.13963
763	0.1244
763.5	0.12017
764	0.099963
764.5	0.08529
765	0.098079
765.5	0.12258
766	0.1216
766.5	0.091121
767	0.096375
767.5	0.13226
768	0.15193
768.5	0.12207
769	0.078793
769.5	0.073612
770	0.096312
770.5	0.14424
771	0.15184
771.5	0.13372
772	0.11712
772.5	0.12675
773	0.13084
773.5	0.099002
774	0.063193
774.5	0.060141
775	0.073341
775.5	0.070708
776	0.080206
776.5	0.1026
777	0.10579
777.5	0.085919
778	0.080002
778.5	0.11482
779	0.15836
779.5	0.17124
780	0.13324
780.5	0.10813
781	0.094097
781.5	0.081348
782	0.064437
782.5	0.069576
783	0.10307
783.5	0.12354
784	0.12042
784.5	0.10864
785	0.12478
785.5	0.16217
786	0.16512
786.5	0.13942
787	0.118
787.5	0.096141
