f	eta0	eta1	eta2	eta3	eta4	eta5	eta6	eta7	sumEta	sumEtaSq
8.65945	0.004903225936022253	0.00420854853539762	0.0005156663985114128	0.0001612570391978459	0.0006584797096053824	0.0016161137475752198	0.006401197255337319	0.005035128590752327	0.02349961721239938	0.00011141868642193649
8.99251	0.004419185368995399	0.004571298293202611	0.0004576008899078536	0.00014952702765934695	0.0007293201741449189	0.001385530379875356	0.0051393618725254255	0.005960655681489394	0.022812479687800306	0.00010505178327743737
9.32556	0.0038476544491280627	0.00425862759265627	0.00039721268814845427	0.00015155658511173972	0.0007451309655039783	0.001019844961368608	0.003716474759878891	0.006165677505386846	0.020302179507182848	8.654416869317721E-05
9.65862	0.0037458862698191934	0.0033412632237416356	0.0003571814235307565	0.0001729234463717399	0.0006958995490659838	0.0006507338173263445	0.0026406159714307893	0.00561448691225393	0.01721899061354037	6.475623164421722E-05
9.99167	0.0041520798506472665	0.002400613527771165	0.00036739751147873945	0.0001986606108327744	0.0006175862322755089	0.00043684932126790215	0.0021449176866702893	0.0048217452023805885	0.015139849943324235	5.15993081286659E-05
10.3247	0.004718808080881566	0.0020663185805685604	0.0004247986133410122	0.00021568870824608983	0.0005560382021194759	0.00043665677824095096	0.0023832848943405012	0.004092588752632382	0.014894182610370538	4.9692974871322067E-05
10.6578	0.0051041520192575155	0.002621733530416178	0.00046910271108395175	0.0002367244062854199	0.0005939582454332526	0.0005002806960666969	0.0030183123651890383	0.00342140270239585	0.015965666676127904	5.4621223496266346E-05
10.9908	0.0050022264636781855	0.0037134861734011634	0.00044342930648366333	0.00029143151902831646	0.0007408224463242132	0.0005707791701267076	0.004007684293610744	0.003131363854234702	0.017901223226887697	6.583539077698591E-05
11.3239	0.004505036837915909	0.0046857366655792725	0.0003749341289522737	0.0003564772321269915	0.0008544327567539639	0.0006376070039209213	0.004929589695520534	0.0034821758609491836	0.01982599018171905	8.008213794823408E-05
11.657	0.003877664475874612	0.004960761243978922	0.0003466995728862589	0.00036401250953700193	0.0008458386746099175	0.0007249645454207767	0.004993910365344306	0.004476576083869983	0.020590427471521778	8.611803043551521E-05
11.99	0.0033954690099497167	0.004582392296840973	0.00038461505092234375	0.0003069856772816969	0.0007415425465572867	0.0008666361643072352	0.004300144103718655	0.005673316824538379	0.020251101674116288	8.474840459710487E-05
12.3231	0.003316797155023002	0.004073709075568017	0.0004687052805674744	0.0002300422684105645	0.0006150840047877654	0.0009723499878245078	0.0036493066864373884	0.006398829687532428	0.01972482414615115	8.345510657871228E-05
12.6561	0.0034211810364822943	0.0037647984570170724	0.0005462127259786163	0.00018002716028306747	0.0005553918034203245	0.000949070765694003	0.0032459997927179567	0.006206308168960781	0.018868989910554114	7.647291634284059E-05
12.9892	0.003450089429335616	0.0036318264542427475	0.0005617446746210389	0.00019646494611414073	0.0005810544358875737	0.0008184110676049363	0.0031263443103796288	0.005213449463512895	0.017579384781698577	6.340894100735639E-05
13.3222	0.0034883481433615063	0.0034743610659401696	0.0005108778158609714	0.00024113886458254353	0.0006646730548985612	0.0006803577172809443	0.003244386532877882	0.004135246745246452	0.01643938994004903	5.3089888192728275E-05
13.6553	0.0033543341089119507	0.003410968197600092	0.0004526733582676819	0.0002512246244476199	0.00075207461657692	0.0006357000577819969	0.0032938974773697696	0.004013952676453533	0.016164825117409565	5.1085595813058304E-05
13.9883	0.003132401006954103	0.003741422525575805	0.00045880167615534764	0.00022310781570091277	0.000733820800601628	0.0006440610461843245	0.00317810575234842	0.005034213022798718	0.01714593364631926	6.046741918935688E-05
14.3214	0.0032337947392746336	0.004326193296303154	0.0005184781435699714	0.0002060455506537187	0.000624330526740301	0.0005707714684056296	0.002843572125611366	0.006044822535510453	0.018368008386069227	7.482600180217731E-05
