f	eta0	eta1	eta2	eta3	eta4	eta5	eta6	eta7
989.176	929.456	706.115	425.255	791.899	32.5629	148.211	176.653	50.7993
989.509	929.621	706.301	424.873	791.978	33.008	148.379	176.854	50.9619
989.842	929.842	706.524	424.84	791.698	33.3869	149.231	176.762	50.4092
990.175	930.361	707.72	425.184	791.519	33.2863	149.769	176.508	48.4565
990.508	931.447	709.897	425.417	791.751	32.7442	149.353	176.334	46.143
990.841	932.516	712.722	425.062	792.828	32.2213	148.621	176.354	44.6821
991.174	933.12	714.419	423.986	794.974	32.1093	148.316	176.485	45.2944
991.507	932.924	715.097	423.007	797.183	32.0449	148.225	176.751	47.535
991.84	932.303	714.328	422.601	798.208	31.909	148.379	177.022	49.4146
992.173	931.677	714.084	422.801	798.047	31.7931	148.524	177.079	49.5213
992.506	931.565	713.925	423.326	797.345	31.9843	148.675	176.712	48.2613
992.839	931.373	714.03	423.99	796.849	32.5357	149.425	175.945	46.6006
993.172	931.152	712.999	424.272	796.809	33.1364	150.151	175.067	45.7308
993.505	930.734	711.902	424.115	797.233	33.1217	149.898	174.723	46.0849
993.838	930.266	709.874	423.173	798.222	33.0095	149.714	175.043	47.2077
994.172	929.881	708.706	421.905	799.475	33.007	150.166	175.791	48.2196
994.505	930.095	708.226	421.321	799.671	33.0605	151.361	176.426	49.2371
994.838	930.657	709.229	422.138	797.862	32.9515	152.583	176.662	50.1811
995.171	931.7	710.929	423.832	794.71	32.6036	152.564	176.573	50.6679
995.504	932.275	712.218	425.39	792.356	32.1019	151.624	176.374	50.701
995.837	931.863	711.52	425.755	792.43	31.8558	150.886	176.081	50.5609
996.17	931.35	711.154	425.09	794.599	31.8087	150.136	175.88	50.2135
996.503	931.681	712.316	424.391	796.788	31.5901	148.418	175.833	50.0201
996.836	932.72	714.724	424.026	798.139	31.2502	145.652	175.862	49.9411
997.169	933.573	716.997	423.554	799.329	31.3808	143.936	175.934	49.0038
997.502	933.364	717.085	422.904	800.128	31.9501	144.536	175.981	47.5736
997.835	932.548	716.177	422.436	800.177	32.4057	146.149	176.002	46.8059
998.168	932.277	715.575	422.433	799.136	32.6916	147.727	175.992	46.9496
998.501	932.486	715.71	422.968	797.115	32.9155	148.939	175.88	47.751
998.834	932.919	715.188	423.683	794.941	33.2722	149.645	175.685	48.673
999.167	932.889	714.465	424.462	793.231	33.7051	150.205	175.592	48.683
999.5	932.573	713.544	424.892	792.682	34.2657	150.748	175.412	48.0011
999.833	932.255	714.068	425.11	793.181	34.5958	150.776	175.197	47.3039
1000.17	932.247	714.127	425.156	793.495	34.7011	150.658	175.085	47.069
1000.5	932.255	714.068	425.11	793.181	34.5958	150.776	175.197	47.3039
1000.83	932.573	713.544	424.892	792.682	34.2657	150.748	175.412	48.0011
1001.17	932.889	714.465	424.462	793.231	33.7051	150.205	175.592	48.683
1001.5	932.919	715.188	423.683	794.941	33.2722	149.645	175.685	48.673
1001.83	932.486	715.71	422.968	797.115	32.9155	148.939	175.88	47.751
1002.16	932.277	715.575	422.433	799.136	32.6916	147.727	175.992	46.9496
1002.5	932.548	716.177	422.436	800.177	32.4057	146.149	176.002	46.8059
1002.83	933.364	717.085	422.904	800.128	31.9501	144.536	175.981	47.5736
1003.16	933.573	716.997	423.554	799.329	31.3808	143.936	175.934	49.0038
1003.5	932.72	714.724	424.026	798.139	31.2502	145.652	175.862	49.9411
1003.83	931.681	712.316	424.391	796.788	31.5901	148.418	175.833	50.0201
1004.16	931.35	711.154	425.09	794.599	31.8087	150.136	175.88	50.2135
1004.5	931.863	711.52	425.755	792.43	31.8558	150.886	176.081	50.5609
1004.83	932.275	712.218	425.39	792.356	32.1019	151.624	176.374	50.701
1005.16	931.7	710.929	423.832	794.71	32.6036	152.564	176.573	50.6679
1005.5	930.657	709.229	422.138	797.862	32.9515	152.583	176.662	50.1811
1005.83	930.095	708.226	421.321	799.671	33.0605	151.361	176.426	49.2371
1006.16	929.881	708.706	421.905	799.475	33.007	150.166	175.791	48.2196
1006.49	930.266	709.874	423.173	798.222	33.0095	149.714	175.043	47.2077
1006.83	930.734	711.902	424.115	797.233	33.1217	149.898	174.723	46.0849
1007.16	931.152	712.999	424.272	796.809	33.1364	150.151	175.067	45.7308
1007.49	931.373	714.03	423.99	796.849	32.5357	149.425	175.945	46.6006
1007.83	931.565	713.925	423.326	797.345	31.9843	148.675	176.712	48.2613
1008.16	931.677	714.084	422.801	798.047	31.7931	148.524	177.079	49.5213
1008.49	932.303	714.328	422.601	798.208	31.909	148.379	177.022	49.4146
1008.83	932.924	715.097	423.007	797.183	32.0449	148.225	176.751	47.535
1009.16	933.12	714.419	423.986	794.974	32.1093	148.316	176.485	45.2944
1009.49	932.516	712.722	425.062	792.828	32.2213	148.621	176.354	44.6821
1009.83	931.447	709.897	425.417	791.751	32.7442	149.353	176.334	46.143
1010.16	930.361	707.72	425.184	791.519	33.2863	149.769	176.508	48.4565
1010.49	929.842	706.524	424.84	791.698	33.3869	149.231	176.762	50.4092
1010.82	929.621	706.301	424.873	791.978	33.008	148.379	176.854	50.9619
1011.16	929.456	706.115	425.255	791.899	32.5629	148.211	176.653	50.7993
1011.49	929.316	705.747	425.657	791.417	32.4342	148.876	176.286	50.8128
1011.82	929.275	705.323	425.976	790.425	32.5704	149.798	176.041	50.9905
1012.16	929.785	705.789	426.115	789.436	32.8074	150.555	175.945	51.0176
1012.49	930.579	707.69	425.852	789.725	32.8227	150.832	175.849	50.1266
1012.82	931.036	709.019	425.312	790.789	32.5445	151.092	175.662	48.1193
1013.16	931.067	710.233	424.952	791.737	32.2002	151.747	175.532	46.1475
1013.49	931.064	710.621	424.632	792.718	32.193	152.295	175.52	45.3688
1013.82	930.966	710.837	424.492	793.617	32.3948	152.075	175.531	45.2076
1014.15	931.25	710.687	424.547	794.029	32.7379	151.191	175.326	44.988
1014.49	931.141	710.512	424.639	794.087	33.1149	150.535	174.939	44.6148
1014.82	930.915	710.1	424.519	793.813	33.6371	151.009	174.574	45.2409
1015.15	931	711.726	424.288	793.795	34.0312	151.76	174.716	46.7568
1015.49	931.38	712.898	423.849	794.383	34.1468	152.013	175.465	47.9417
1015.82	931.679	713.543	423.917	794.733	33.9028	151.819	176.391	48.0185
1016.15	931.81	712.757	424.212	794.711	33.8462	151.79	176.86	47.8575
1016.49	931.338	712.227	424.248	794.917	34.1819	152.213	176.626	47.9979
1016.82	930.991	712.102	424.219	794.78	34.5864	152.61	175.934	48.1912
1017.15	930.918	712.537	424.639	793.901	34.6615	152.592	175.53	47.694
1017.49	931.181	712.396	425.381	792.292	34.4524	152.532	175.533	46.4476
1017.82	931.723	712.311	426.237	790.29	33.8289	151.682	175.51	45.0779
1018.15	932.29	712.237	426.39	789.696	32.8329	149.218	175.396	44.5185
1018.48	932.802	713.009	425.675	791.045	31.7585	146.286	175.355	45.4032
1018.82	933.258	714.287	424.862	792.722	31.3866	145.45	175.426	47.096
1019.15	933.307	714.92	424.592	793.651	31.9944	147.332	175.686	48.7042
1019.48	932.932	714.846	425.01	793.522	32.8627	150.209	175.945	49.6379
1019.82	932.563	713.818	425.515	793.049	33.1271	151.839	175.96	49.606
1020.15	932.139	712.78	425.392	793.666	32.4913	151.509	175.803	48.7151
1020.48	932.006	711.881	424.706	794.7	31.9608	150.922	175.464	47.1944
1020.82	932.114	712.013	424.122	795.083	32.2423	150.978	175.13	45.0857
1021.15	932.299	711.976	423.609	795.155	33.0427	151.028	175.123	43.5872
1021.48	932.507	712.916	423.537	794.74	33.5165	150.447	175.384	43.6376
1021.82	932.84	713.283	423.911	793.685	33.1669	149.325	175.449	44.9219
1022.15	932.688	713.149	424.626	792.812	32.1956	148.085	175.347	46.2081
1022.48	932.433	711.952	425.181	792.382	31.5595	147.428	175.133	46.5235
1022.81	932.008	711.455	425.261	792.955	31.3446	147.357	175.047	45.7422
1023.15	931.655	710.654	425.165	793.822	31.4468	147.554	175.105	45.3843
1023.48	931.294	710.352	425.662	793.331	31.7087	147.89	175.244	46.2813
1023.81	930.742	708.908	426.259	791.639	32.0293	148.623	175.442	47.8728
1024.15	929.646	706.713	426.21	790.445	32.1574	149.307	175.713	48.7167
1024.48	928.747	704.621	425.059	791.233	32.2952	149.83	175.789	48.5851
1024.81	928.62	704.945	423.77	793.68	32.4845	150.234	175.664	48.2835
1025.15	929.442	707.152	423.513	795.406	32.7686	150.549	175.477	48.4161
1025.48	930.426	709.621	424.216	795.309	32.8232	150.295	175.426	48.2672
1025.81	931.046	710.567	425.059	794.235	32.3731	148.718	175.671	47.5052
1026.14	931.136	710.176	425.185	793.836	31.8907	146.881	176.119	46.9242
1026.48	930.889	709.983	424.492	794.868	32.1321	146.703	176.538	47.3259
1026.81	930.484	709.964	423.755	796.139	33.0775	148.62	176.801	48.8109
1027.14	929.895	709.866	423.424	796.707	34.0504	151.51	176.925	49.9342
1027.48	929.737	709.495	423.567	795.991	34.4417	153.554	176.851	49.8019
1027.81	929.993	709.784	424.244	793.833	34.1347	154.07	176.753	48.9742
1028.14	930.166	709.156	424.761	791.467	33.6855	153.828	176.658	48.3093
1028.48	930.003	708.461	424.957	790.106	33.3281	153.003	176.561	48.0037
1028.81	929.826	707.229	424.962	789.72	33.2905	152.117	176.397	47.7701
1029.14	929.474	706.858	425.014	790.064	33.2269	151.594	176.206	47.3484
1029.48	929.811	707.456	425.002	790.583	33.018	150.99	176.098	47.355
1029.81	930.632	709.623	425.034	791.067	32.696	149.726	176.188	47.2951
1030.14	931.622	711.234	424.954	791.68	32.3706	148.201	176.26	47.1718
